,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
FLT,Information Technology,FLEETCOR Technologies Inc.,0.045197,211.39,S&P500,17.03,12.42,2.70%,73.46M,3.92%,15.16B,10.73,19.71,0.00%,71.54M,-1.47%,954.30M,1.24,4.22,93.90%,2.10% / 2.48,15.18%,3.43B,4.42,24.30%,-5.98%,1.50M,20.09%,34.60,6.11,6.60%,241.45,-15.05%,20.03,10.56,13.68%,36.80%,161.69 - 265.30,15.18%,-,25.12,13.70%,11.70%,-20.25%,1.20,-,1.00,8.80%,-,30.85%,6.45,9900,1.00,10.10%,42.20%,57.52,1.90% 3.07%,Yes,2.77,9.70%,27.80%,0.75,210.85,Yes,1.86,Feb 08 AMC,0.00%,605.47K,211.57,1.90,5.12%,2.71%,5.27%,"451,310",0.34%,0
LNT,Utilities,Alliant Energy Corp,0.039022,57.24,S&P500,19.33,2.73,0.16%,251.20M,2.73%,13.12B,16.41,3.21,0.00%,250.65M,1.25%,685.00M,3.48,0.53,78.40%,1.85% / 3.00,-4.51%,4.20B,3.12,3.90%,2.87%,4.64M,-0.51%,24.98,2.11,3.50%,56.88,-15.62%,0.08,655.92,5.55%,11.10%,47.19 - 65.37,-4.51%,1.81,-,7.50%,6.00%,-19.35%,0.53,3.43%,0.40,4.50%,90.70%,11.72%,1.22,3129,0.50,14.10%,22.10%,51.97,1.55% 2.48%,Yes,1.39,21.30%,16.30%,1.35,53.40,Yes,1.22,Feb 23 AMC,62.60%,1.55M,52.72,2.90,1.39%,-0.07%,-5.40%,"2,091,237",-1.27%,0
ESS,Real Estate,Essex Property Trust Inc.,0.038985,208.17,S&P500,33.16,6.28,1.20%,64.72M,3.61%,13.11B,34.95,5.96,0.13%,63.98M,-10.27%,408.30M,4.20,1.40,97.50%,2.29% / 2.66,-1.69%,1.61B,8.16,-16.40%,0.33%,1.47M,-13.99%,88.32,2.36,3.20%,238.05,-39.70%,0.53,393.72,7.90%,7.00%,195.03 - 363.36,-1.69%,9.24,33.81,-0.90%,-,-42.66%,0.77,4.44%,-,3.30%,70.90%,6.82%,5.32,1772,-,11.70%,37.00%,45.19,1.76% 2.67%,Yes,1.04,36.20%,25.40%,0.69,209.14,Yes,1.04,Feb 07 AMC,138.30%,550.54K,208.34,2.80,-1.43%,-6.05%,-12.49%,"377,174",-0.38%,0
TER,Information Technology,Teradyne Inc.,0.048831,107.68,S&P500,25.31,4.22,0.30%,155.76M,1.38%,16.68B,20.54,5.20,-19.11%,154.85M,3.66%,715.50M,2.37,0.51,-,2.59% / 2.45,22.27%,3.15B,5.29,-23.70%,-1.34%,4.01M,42.12%,15.74,6.79,20.60%,113.07,-9.67%,5.73,18.65,10.67%,30.20%,67.81 - 120.20,22.27%,0.44,48.35,14.00%,28.30%,-11.15%,1.56,0.41%,2.60,8.10%,59.20%,57.50%,3.10,6500,3.00,-17.30%,26.40%,55.14,2.27% 2.85%,Yes,0.02,-17.30%,22.70%,0.75,107.51,Yes,0.00,Jan 25 AMC,9.70%,1.64M,106.80,2.20,2.02%,2.21%,14.91%,"1,236,187",-0.66%,0
SIVB**Halted **,Financials,SVB Financial Group**Halted as of Mar 10**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TYL,Information Technology,Tyler Technologies Inc.,0.04291,318.62,S&P500,91.33,3.88,0.30%,41.61M,6.55%,14.37B,40.99,8.64,-25.46%,41.18M,7.20%,164.20M,12.69,1.93,93.00%,1.92% / 2.73,9.80%,1.85B,7.76,1.40%,1.24%,0.79M,1.87%,63.08,5.61,3.50%,408.14,-20.43%,5.20,68.12,7.20%,6.60%,281.11 - 450.96,9.80%,-,40.02,1.20%,5.30%,-21.50%,0.83,-,1.00,17.10%,42.40%,25.93%,8.88,7200,1.00,4.30%,11.60%,66.46,2.03% 2.77%,Yes,0.38,-43.20%,8.90%,1.00,354.64,Yes,0.36,Feb 15 AMC,0.00%,289.85K,354.01,2.10,7.95%,7.94%,3.93%,"289,936",-0.18%,0
PEAK,Real Estate,Healthpeak Properties Inc.,0.03497,21.76,S&P500,23.95,0.91,0.29%,537.92M,4.37%,11.73B,44.60,0.49,1.15%,535.96M,-10.54%,494.90M,-,0.10,97.50%,2.02% / 2.39,-13.36%,2.06B,5.69,324.50%,-2.31%,10.82M,-4.91%,12.37,1.76,3.60%,28.16,-36.16%,0.13,162.91,-,8.70%,20.21 - 35.40,-13.36%,1.20,-,0.00%,5.00%,-38.64%,0.89,5.52%,-,2.20%,58.40%,7.47%,0.60,199,-,8.50%,18.10%,43.35,2.02% 2.88%,Yes,0.98,-77.70%,27.20%,1.29,21.97,Yes,0.96,Apr 27 AMC,115.20%,4.53M,21.72,2.00,0.52%,-10.88%,-13.55%,"5,824,273",-1.14%,0
AKAM,Information Technology,Akamai Technologies Inc.,0.036006,77.35,S&P500,23.82,3.27,0.10%,157.11M,1.98%,11.90B,12.94,6.02,-19.26%,154.53M,2.95%,523.70M,1.98,1.35,95.40%,7.15% / 6.47,-7.62%,3.62B,3.29,-17.00%,-1.95%,11.05M,-3.04%,27.75,2.81,6.40%,93.05,-34.77%,7.23,10.76,12.00%,12.20%,70.65 - 123.25,-7.62%,-,11.51,17.80%,8.30%,-36.81%,0.80,-,2.40,7.80%,61.70%,10.23%,1.55,9800,2.40,2.50%,18.70%,56.56,1.33% 1.97%,Yes,0.00,15.40%,14.50%,0.73,78.30,Yes,0.52,Feb 14 AMC,0.00%,1.71M,77.88,2.80,4.47%,-2.04%,-10.16%,"1,255,871",-0.54%,0
CBOE,Financials,Cboe Global Markets Inc,0.041068,133.9,S&P500,61.64,2.18,0.20%,106.00M,2.36%,14.02B,17.93,7.50,-12.98%,105.58M,6.45%,233.70M,22.53,1.78,84.00%,1.27% / 1.90,7.24%,3.96B,3.54,-55.40%,-3.08%,1.34M,14.65%,32.69,4.12,3.10%,145.75,17.60%,5.03,26.74,2.74%,6.90%,103.82 - 134.24,7.24%,2.00,36.72,2.80%,5.60%,0.24%,0.49,1.49%,1.10,12.20%,44.00%,29.61%,2.66,1543,1.10,16.00%,12.40%,68.70,1.62% 2.31%,Yes,0.50,-3.40%,5.90%,0.62,134.24,Yes,0.41,Feb 03 BMO,89.00%,704.36K,134.56,2.50,6.35%,6.81%,9.90%,"436,290",0.24%,0
BRO,Financials,Brown & Brown Inc.,0.039291,57.6,S&P500,24.37,2.37,0.10%,278.10M,3.33%,16.16B,21.23,2.71,3.09%,235.82M,1.57%,659.20M,1.84,0.56,75.10%,1.37% / 2.76,1.19%,3.57B,4.52,14.30%,-0.94%,3.22M,-4.68%,16.56,3.48,5.20%,65.10,-20.23%,2.36,24.41,13.22%,15.00%,52.82 - 73.86,1.19%,0.46,22.78,19.70%,9.50%,-21.95%,0.75,0.80%,1.10,13.70%,-,9.14%,1.13,15201,1.10,22.10%,28.30%,59.26,1.21% 2.10%,Yes,0.86,42.70%,18.40%,0.96,57.42,Yes,0.80,Apr 24 AMC,17.80%,1.17M,57.65,2.50,3.95%,1.22%,-3.07%,"1,115,557",0.40%,0
NTAP,Information Technology,NetApp Inc.,0.040334,64.18,S&P500,11.08,5.79,0.20%,216.00M,4.10%,13.46B,11.38,5.64,-11.91%,213.31M,-2.42%,1.29B,1.47,1.35,91.40%,2.90% / 3.31,6.88%,6.46B,2.08,26.70%,-1.90%,6.18M,3.78%,5.10,12.59,13.20%,71.63,-22.66%,14.98,4.28,7.53%,135.60%,58.08 - 83.90,6.88%,2.00,23.28,19.00%,28.80%,-23.49%,1.18,3.12%,1.30,2.80%,65.40%,10.52%,1.47,12000,1.30,-5.50%,15.50%,54.72,1.71% 2.30%,Yes,2.17,-73.00%,19.90%,1.05,63.85,Yes,2.17,Feb 22 AMC,33.90%,1.87M,64.19,2.60,2.79%,-0.99%,-3.82%,"1,959,248",0.53%,0
ZBRA,Information Technology,Zebra Technologies Corporation Class A,0.047676,311.39,S&P500,35.43,8.79,0.70%,51.67M,7.89%,15.57B,16.00,19.48,-0.45%,51.34M,0.71%,463.00M,9.10,4.18,91.00%,1.33% / 1.89,21.54%,5.78B,2.69,-43.30%,0.27%,0.69M,18.95%,52.90,5.89,6.50%,360.08,-24.67%,2.10,148.32,3.89%,17.10%,224.87 - 437.30,21.54%,-,37.71,39.70%,9.40%,-28.73%,1.67,-,0.40,9.20%,45.40%,38.59%,9.11,10500,0.80,2.50%,9.20%,58.70,2.43% 2.77%,Yes,0.74,1.00%,8.00%,0.55,318.00,Yes,0.66,Feb 16 BMO,0.00%,363.42K,311.65,2.30,5.61%,1.54%,7.24%,"199,807",-2.00%,0
VTRS,Health Care,Viatris Inc.,0.033961,9.64,S&P500,5.63,1.71,0.26%,1.21B,1.48%,11.43B,3.31,2.90,-0.79%,1.19B,-13.66%,2.08B,-,0.73,77.10%,1.98% / 2.51,-13.66%,16.26B,0.70,262.60%,2.12%,23.60M,12.79%,17.37,0.55,4.10%,13.69,-11.67%,1.12,8.54,-4.35%,10.30%,8.42 - 12.40,-13.66%,0.48,5.82,2.10%,2.20%,-22.50%,1.19,4.99%,1.10,6.40%,43.20%,14.13%,0.26,37000,1.60,-10.70%,9.90%,35.46,1.84% 2.68%,Yes,0.91,479.60%,12.80%,1.94,9.62,Yes,0.85,Feb 27 BMO,28.00%,9.40M,9.61,2.50,-1.50%,-12.14%,-8.19%,"18,258,093",-0.10%,0
RE,Financials,Everest Re Group Ltd.,0.040948,175.73,S&P500,24.47,14.79,0.50%,39.60M,3.49%,14.10B,6.62,54.69,-7.16%,38.55M,-5.44%,584.80M,2.04,12.39,96.50%,1.12% / 1.45,9.26%,12.52B,1.13,-56.40%,0.23%,0.43M,37.92%,213.16,1.70,1.50%,420.57,20.10%,35.89,10.08,12.00%,6.80%,244.57 - 394.99,9.26%,6.60,4.10,5.50%,10.00%,-8.37%,0.61,1.82%,-,13.60%,-,47.99%,10.18,2428,-,4.20%,9.20%,52.35,1.73% 2.95%,Yes,0.37,12.80%,4.70%,0.56,358.02,Yes,0.37,Feb 08 AMC,43.90%,298.74K,361.95,1.90,1.75%,-0.07%,16.28%,"166,878",1.10%,0
HRL,Consumer Staples,Hormel Foods Corporation,0.033422,40.95,S&P500,22.73,1.78,0.20%,546.38M,3.72%,21.74B,21.67,1.86,-3.42%,287.16M,-0.52%,978.10M,6.89,0.40,41.40%,3.48% / 5.12,-11.26%,12.39B,1.75,9.60%,0.10%,10.00M,-11.05%,13.94,2.90,7.40%,43.24,-21.58%,1.15,35.19,3.30%,13.10%,37.78 - 55.11,-11.26%,1.10,178.61,3.00%,9.60%,-26.66%,0.17,2.72%,1.10,6.30%,17.10%,7.00%,0.68,20000,2.30,-2.40%,10.40%,50.73,1.27% 1.64%,Yes,0.43,-9.50%,7.90%,2.25,39.88,Yes,0.43,Mar 02 BMO,58.00%,1.95M,40.42,3.30,3.13%,-4.93%,-12.24%,"4,402,308",1.35%,0
IPG,Communication Services,Interpublic Group of Companies Inc.,0.042059,37.31,S&P500,15.81,2.38,0.51%,387.90M,5.80%,14.17B,12.31,3.05,-8.16%,383.16M,5.24%,938.00M,2.14,0.66,-,2.31% / 2.56,12.79%,10.93B,1.30,-0.70%,-1.20%,8.85M,46.76%,9.40,4.00,5.30%,40.70,5.98%,6.75,5.57,7.40%,26.80%,25.14 - 39.52,12.79%,1.24,-,11.20%,16.00%,-4.93%,1.12,3.30%,1.00,3.80%,16.90%,49.44%,0.82,58400,1.00,1.80%,12.50%,65.70,1.52% 2.19%,Yes,0.80,-15.50%,8.60%,1.32,37.24,Yes,0.79,Feb 09 BMO,48.40%,3.45M,37.57,2.40,7.93%,4.18%,19.29%,"4,547,307",0.89%,0
TECH,Health Care,Bio-Techne Corporation,0.033967,73.69,S&P500,45.87,1.61,0.80%,157.01M,0.48%,11.33B,31.19,2.37,-0.67%,155.74M,-5.73%,261.70M,4.26,0.57,97.90%,1.66% / 2.63,-11.00%,1.12B,10.11,91.20%,2.02%,2.58M,3.89%,11.64,6.34,11.20%,101.12,-31.87%,1.28,57.55,10.76%,15.00%,68.00 - 113.81,-11.00%,0.32,56.12,26.70%,13.20%,-35.19%,1.25,0.43%,3.20,14.50%,68.30%,8.47%,2.01,3000,4.40,0.90%,30.70%,49.75,2.01% 2.62%,Yes,0.11,-36.40%,23.40%,0.80,74.19,Yes,0.11,Feb 02 BMO,19.20%,982.95K,73.76,1.60,0.83%,-2.56%,-9.19%,"790,728",-0.58%,0
EXPE,Consumer Discretionary,Expedia Group Inc.,0.041973,94.8,S&P500,44.59,2.13,0.20%,155.39M,4.78%,14.44B,8.28,11.48,-2.13%,146.28M,-11.65%,352.00M,1.44,2.40,95.60%,2.64% / 1.44,8.53%,11.67B,1.24,221.10%,-3.00%,3.87M,1.47%,14.69,6.47,1.50%,133.54,-51.41%,27.28,3.49,31.06%,16.50%,82.39 - 200.45,8.53%,-,5.20,-1.30%,11.10%,-52.57%,1.62,-,0.80,3.00%,85.80%,15.39%,3.26,16500,0.80,14.90%,9.80%,43.53,1.88% 3.20%,Yes,2.73,-38.30%,3.00%,0.66,97.03,Yes,2.73,Feb 09 AMC,0.00%,2.68M,95.07,2.40,-1.58%,-10.66%,-5.29%,"1,763,727",-2.02%,0
JKHY,Information Technology,Jack Henry & Associates Inc.,0.031921,150.42,S&P500,31.23,4.82,0.50%,72.96M,0.78%,10.79B,28.25,5.33,-4.02%,72.29M,-9.32%,352.50M,3.47,1.16,94.10%,3.97% / 4.76,-14.22%,2.00B,5.41,20.00%,0.60%,2.87M,-17.38%,20.71,7.27,14.30%,177.70,-23.58%,0.36,418.27,9.00%,24.80%,139.28 - 212.62,-14.22%,2.08,33.15,11.00%,24.40%,-29.17%,0.65,1.38%,1.20,7.00%,41.30%,8.12%,3.91,6847,1.20,2.30%,23.20%,43.05,1.61% 3.02%,Yes,0.18,-14.90%,17.70%,0.98,150.72,Yes,0.18,Feb 07 AMC,40.50%,602.92K,150.59,2.70,-0.56%,-8.20%,-17.46%,"588,306",-0.09%,0
KIM,Real Estate,Kimco Realty Corporation,0.034673,18.84,S&P500,122.45,0.16,2.10%,615.86M,7.15%,11.62B,27.46,0.71,-0.08%,605.44M,-5.76%,98.60M,-,0.15,96.00%,1.89% / 2.40,-8.07%,1.73B,6.73,-90.00%,-1.66%,11.42M,5.96%,15.45,1.26,0.50%,23.38,-20.74%,0.25,77.60,-,1.00%,17.34 - 26.42,-8.07%,0.92,78.60,-28.90%,2.90%,-26.31%,1.45,4.73%,-,7.50%,69.30%,12.28%,0.54,639,-,3.60%,31.40%,53.52,2.27% 2.92%,Yes,0.75,-173.40%,5.70%,1.21,19.53,Yes,0.75,Apr 27 BMO,426.60%,4.76M,19.47,2.30,4.08%,-4.61%,-6.35%,"5,760,043",-0.31%,0
NDSN,Industrials,Nordson Corporation,0.034728,221.82,S&P500,25.69,8.58,0.40%,57.17M,3.74%,12.42B,22.58,9.76,-6.78%,51.05M,-1.20%,497.00M,1.98,2.10,75.50%,2.52% / 4.62,-7.32%,2.59B,4.79,13.90%,-0.82%,1.28M,3.79%,42.80,5.15,12.70%,251.83,-2.98%,2.16,101.79,13.00%,21.80%,194.89 - 251.26,-7.32%,2.60,36.87,11.60%,18.60%,-12.32%,0.92,1.18%,0.90,4.60%,54.60%,13.04%,4.59,7200,1.40,0.20%,26.70%,54.27,1.21% 1.92%,Yes,0.42,-11.60%,19.20%,0.58,222.26,Yes,0.25,Feb 20 AMC,19.30%,278.19K,220.31,2.30,3.48%,-2.72%,-2.34%,"162,302",-0.88%,0
LW,Consumer Staples,Lamb Weston Holdings Inc.,0.043469,104.34,S&P500,31.87,3.27,0.50%,144.00M,2.50%,14.76B,23.51,4.43,-6.91%,139.58M,2.20%,473.60M,0.79,0.99,91.50%,1.83% / 1.79,16.63%,4.51B,3.27,-36.30%,0.73%,2.55M,34.69%,3.98,26.19,11.00%,107.80,73.96%,2.96,35.18,40.50%,103.20%,59.40 - 104.59,16.63%,1.12,48.29,-9.10%,10.30%,-0.35%,0.53,1.07%,1.10,5.30%,25.10%,75.45%,1.70,8000,2.00,26.80%,15.50%,66.71,1.28% 1.68%,Yes,4.79,221.00%,10.50%,0.95,104.52,Yes,4.71,Apr 06 BMO,29.60%,1.43M,104.22,2.00,4.27%,4.65%,20.80%,"1,360,718",-0.29%,0
PTC,Information Technology,PTC Inc.,0.039731,122.53,S&P500,44.30,2.89,1.00%,117.82M,3.98%,14.84B,24.38,5.25,-61.08%,105.26M,2.59%,342.00M,3.60,1.02,91.10%,1.48% / 2.16,6.69%,1.94B,7.65,-34.30%,-0.99%,1.56M,22.44%,20.37,6.29,7.40%,155.20,18.89%,3.34,38.30,12.32%,15.30%,96.55 - 139.91,6.69%,-,32.76,118.50%,10.00%,-8.46%,1.19,-,1.40,10.70%,80.10%,32.65%,2.57,6503,1.40,1.80%,25.20%,61.68,1.33% 2.10%,Yes,0.56,62.50%,17.60%,0.80,128.23,Yes,0.56,Feb 01 AMC,0.00%,721.89K,128.07,2.00,5.58%,0.51%,7.20%,"579,901",-0.12%,0
TRMB,Information Technology,Trimble Inc.,0.037831,51.7,S&P500,28.81,1.80,0.20%,247.10M,4.08%,12.51B,17.70,2.92,-1.52%,245.71M,-4.24%,449.70M,2.88,0.67,95.70%,0.88% / 1.68,2.35%,3.68B,3.40,-7.20%,-0.85%,2.15M,-4.64%,16.39,3.16,6.30%,61.69,-28.26%,1.12,46.16,10.00%,11.40%,47.09 - 74.87,2.35%,-,35.95,64.60%,8.80%,-30.88%,1.57,-,0.80,6.80%,57.30%,9.90%,1.30,11825,1.00,-7.50%,16.80%,53.53,1.86% 2.41%,Yes,0.38,-24.00%,12.20%,0.80,52.42,Yes,0.30,Feb 08 BMO,0.00%,1.28M,51.75,2.40,3.82%,-3.24%,-10.09%,"1,027,443",-1.28%,0
IP,Materials,International Paper Company,0.037781,35.92,S&P500,7.59,4.74,0.40%,353.60M,4.23%,12.28B,12.45,2.89,-7.10%,346.48M,-4.79%,1.74B,0.40,0.76,88.10%,3.14% / 3.39,3.84%,21.16B,0.58,129.50%,-3.60%,10.89M,13.44%,24.03,1.50,6.10%,37.67,-22.08%,2.35,15.27,19.20%,16.80%,30.69 - 50.23,3.84%,1.85,21.54,17.40%,13.00%,-28.41%,1.05,5.14%,1.00,-0.50%,28.40%,17.17%,0.85,39000,1.40,0.90%,7.50%,52.38,1.40% 2.19%,Yes,0.66,55.10%,7.10%,0.97,36.06,Yes,0.57,Apr 27 BMO,45.00%,3.21M,35.96,3.10,2.23%,-2.94%,-4.83%,"3,102,393",-0.28%,0
DPZ,Consumer Discretionary,Domino's Pizza Inc.,0.034275,332.0,S&P500,26.48,12.56,0.40%,35.29M,3.20%,11.70B,22.41,14.84,0.86%,35.19M,9.11%,452.30M,2.30,2.98,93.90%,4.22% / 1.80,-4.01%,4.54B,2.58,-7.50%,-9.35%,1.48M,7.20%,-118.71,-,27.40%,347.08,-18.30%,5.80,57.34,11.51%,-10.70%,291.00 - 426.44,-4.01%,4.84,50.73,16.50%,77.70%,-22.02%,0.78,1.46%,1.30,10.20%,36.30%,14.27%,7.79,11000,1.50,3.60%,16.90%,59.86,1.61% 2.33%,Yes,-,3.80%,10.00%,0.97,329.87,Yes,-,Apr 27 BMO,34.70%,826.90K,332.52,2.50,5.54%,0.56%,-6.66%,"799,265",0.80%,0
UAL,Industrials,United Airlines Holdings Inc.,0.042036,43.29,S&P500,20.80,2.08,0.30%,327.00M,3.36%,14.01B,4.26,10.16,-1.12%,325.89M,-18.30%,737.00M,0.35,3.15,60.70%,4.87% / 1.84,14.99%,44.95B,0.31,136.60%,-5.82%,15.85M,33.26%,21.09,2.06,1.10%,61.63,-6.49%,50.80,0.85,59.43%,15.20%,31.58 - 55.04,14.99%,-,11.23,-19.10%,5.40%,-21.24%,1.44,-,0.90,3.50%,54.60%,37.27%,1.62,92795,1.00,51.40%,5.20%,40.27,2.37% 3.49%,Yes,4.56,223.60%,1.60%,0.85,44.25,Yes,4.12,Jan 17 AMC,0.00%,8.62M,43.35,2.20,-5.51%,-10.52%,4.33%,"7,300,614",-2.03%,1
EQT,Energy,EQT Corporation,0.033728,31.82,S&P500,9.67,3.29,0.20%,366.27M,4.47%,11.24B,5.93,5.37,-22.69%,358.63M,-7.42%,1.77B,0.62,0.28,99.20%,4.92% / 2.50,-6.00%,7.50B,1.50,223.20%,1.81%,17.66M,-21.96%,30.50,1.04,7.90%,47.16,-7.59%,4.13,7.70,15.52%,18.60%,28.10 - 51.97,-6.00%,0.60,6.04,47.00%,12.00%,-38.81%,1.18,1.89%,1.10,19.40%,67.80%,13.15%,1.38,744,1.10,-9.40%,-,53.27,3.58% 4.38%,Yes,0.51,-27.60%,23.60%,1.00,31.91,Yes,0.47,Feb 15 AMC,11.30%,7.07M,31.80,2.10,3.27%,0.40%,-17.36%,"7,087,914",-0.34%,0
SNA,Industrials,Snap-on Incorporated,0.038216,259.2,S&P500,14.66,16.82,1.50%,52.90M,4.05%,12.84B,13.91,17.73,-16.40%,52.24M,-1.38%,911.70M,5.24,4.35,89.50%,4.77% / 8.23,7.94%,4.84B,2.65,12.80%,-0.03%,2.49M,22.49%,84.71,2.91,13.20%,245.14,20.03%,14.54,16.96,2.80%,20.90%,190.08 - 259.78,7.94%,6.48,46.20,11.80%,16.50%,-5.06%,1.09,2.63%,2.40,3.90%,52.30%,29.76%,4.37,12900,3.50,4.10%,24.90%,57.97,1.29% 1.75%,Yes,0.27,7.80%,18.80%,0.66,246.89,Yes,0.26,Feb 02 BMO,34.30%,303.11K,246.64,3.10,2.81%,0.61%,8.75%,"199,116",-0.10%,0
GEN,Information Technology,Gen Digital Inc.,0.028631,17.37,S&P500,18.98,0.90,8.30%,647.00M,2.20%,10.72B,8.40,2.04,-0.00%,610.17M,-10.90%,554.00M,1.42,0.46,85.70%,2.67% / 3.86,-19.93%,3.11B,3.45,21.90%,-0.46%,16.27M,-14.80%,2.02,8.50,5.00%,25.98,-35.29%,1.30,13.21,13.40%,84.70%,15.52 - 27.33,-19.93%,0.50,24.10,41.70%,21.90%,-37.20%,0.79,2.91%,0.50,-7.00%,83.90%,10.57%,0.50,2700,0.50,33.30%,31.90%,42.37,2.07% 3.30%,Yes,7.68,-25.80%,17.80%,0.92,17.16,Yes,7.50,Feb 02 AMC,54.10%,4.21M,17.16,2.40,1.42%,-12.59%,-21.26%,"3,859,034",0.00%,0
POOL,Consumer Discretionary,Pool Corporation,0.038857,338.97,S&P500,18.09,18.76,0.20%,38.84M,3.41%,12.98B,18.88,17.97,0.00%,37.87M,-6.17%,744.30M,2.48,6.59,-,10.19% / 9.02,12.21%,6.18B,2.10,16.30%,0.41%,3.86M,6.61%,31.80,10.67,19.70%,395.70,-19.77%,1.19,284.72,7.28%,61.60%,278.10 - 473.98,12.21%,4.00,44.66,34.60%,30.10%,-28.43%,0.94,1.18%,0.60,17.30%,31.30%,21.99%,9.70,6000,3.00,5.80%,16.60%,46.09,2.23% 2.60%,Yes,1.12,-32.80%,12.00%,0.94,342.44,Yes,1.10,Feb 16 BMO,20.10%,427.93K,339.25,2.50,-0.88%,-5.97%,-1.09%,"400,706",-0.93%,0
PKG,Materials,Packaging Corporation of America,0.037867,140.41,S&P500,12.74,11.01,1.00%,90.50M,6.09%,12.50B,15.25,9.20,0.00%,88.80M,-1.43%,1.02B,-,2.54,97.50%,3.84% / 4.58,9.69%,8.48B,1.47,24.80%,0.04%,3.41M,24.94%,40.52,3.46,12.50%,132.57,-10.13%,4.55,30.84,-7.80%,26.60%,110.56 - 168.50,9.69%,5.00,11.70,13.80%,17.60%,-16.74%,0.89,3.56%,1.70,5.60%,24.70%,26.91%,2.94,15100,2.90,-3.20%,16.80%,61.33,1.32% 2.18%,Yes,0.68,1.30%,12.10%,1.13,138.83,Yes,0.68,Apr 24 AMC,40.70%,744.82K,140.30,3.00,5.12%,2.55%,5.81%,"843,524",1.06%,0
CPT,Real Estate,Camden Property Trust,0.033613,107.55,S&P500,17.20,6.04,0.95%,108.48M,3.80%,10.90B,57.63,1.80,-1.28%,105.47M,-10.62%,652.60M,0.68,0.37,99.00%,1.63% / 1.85,-7.22%,1.42B,7.66,103.80%,-0.39%,1.72M,-13.10%,45.97,2.26,7.10%,130.32,-36.80%,0.10,1018.99,25.29%,13.50%,97.74 - 173.61,-7.22%,4.00,-,23.30%,7.20%,-40.21%,0.81,3.85%,-,9.60%,62.80%,6.20%,2.64,1650,-,23.10%,43.90%,42.27,1.92% 2.67%,Yes,0.74,-78.80%,45.90%,0.92,104.84,Yes,0.69,Feb 02 AMC,62.20%,928.23K,103.80,2.20,-1.42%,-8.83%,-14.25%,"855,007",-0.99%,0
UDR,Real Estate,UDR Inc.,0.036518,40.87,S&P500,161.06,0.25,0.30%,325.55M,6.26%,13.08B,64.43,0.64,-2.04%,323.63M,-4.82%,82.50M,-,0.13,-,1.55% / 1.97,5.63%,1.52B,8.62,-47.10%,-2.34%,5.00M,-1.92%,12.45,3.29,0.80%,46.21,-28.69%,0.00,10899.45,-,2.20%,37.18 - 60.01,5.63%,1.68,41.48,-10.00%,2.60%,-31.83%,0.75,4.11%,-,8.80%,65.70%,10.03%,1.05,1317,-,14.80%,16.50%,53.35,1.92% 2.54%,Yes,1.35,-64.20%,5.40%,0.74,41.06,Yes,1.28,Feb 06 AMC,589.60%,2.54M,40.91,2.30,2.42%,-2.09%,-3.53%,"1,881,807",-0.37%,0
TFX,Health Care,Teleflex Incorporated,0.034589,216.98,S&P500,32.83,7.67,0.22%,46.91M,1.95%,11.62B,17.36,14.51,-13.87%,46.81M,5.29%,362.90M,3.16,3.25,97.20%,2.57% / 3.48,0.89%,2.79B,4.16,-25.00%,-10.18%,1.20M,25.01%,85.74,2.94,5.30%,264.38,-29.03%,6.33,39.79,10.40%,9.30%,182.65 - 356.72,0.89%,1.36,58.36,6.30%,7.30%,-29.40%,0.99,0.54%,1.40,5.40%,54.90%,37.88%,5.75,15500,2.40,-0.50%,17.90%,62.88,1.41% 2.53%,Yes,0.43,-38.50%,13.00%,0.64,253.31,Yes,0.40,Feb 23 BMO,17.60%,345.83K,251.84,2.40,6.21%,4.39%,7.15%,"220,118",-0.58%,0
