,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
VRSK,Industrials,Verisk Analytics Inc,0.091307,199.12,S&P500 NDQ100,32.09,6.18,0.80%,160.68M,4.27%,30.38B,31.85,6.23,-29.94%,156.52M,11.43%,1.00B,3.49,1.41,96.20%,1.90%,5.57%,3.05B,9.97,-5.40%,-0.03%,3.34,0.73%,16.55,11.99,12.80%,199.92,4.46%,2.60,76.36,9.20%,36.70%,156.05 - 231.57,-13.27%,1.24,46.97,9.10%,12.90%,-14.33%,0.85,0.63%,0.50,8.50%,64.70%,27.13%,4.30,9367,0.50,6.80%,45.70%,74.29,2.29% 2.15%,Yes,1.37,205.10%,32.90%,0.83,199.28,Yes,0.88,Aug 02 AMC,18.90%,891.13K,198.38,2.40,8.11%,12.96%,0.06%,"737,180",-0.45%,0
PPG,Materials,PPG Industries Inc.,0.086345,127.36,S&P500,28.30,4.50,0.20%,236.40M,-1.49%,29.38B,15.41,8.27,-6.12%,234.38M,6.94%,1.07B,2.58,1.88,82.00%,1.18%,-3.20%,17.56B,1.67,33.60%,0.10%,1.96,-18.74%,26.15,4.87,5.00%,146.48,-21.84%,4.30,29.62,10.97%,17.50%,107.06 - 177.32,-26.14%,2.48,-,23.60%,10.40%,-28.18%,1.18,1.95%,1.00,3.30%,36.90%,18.96%,3.57,49300,1.50,7.60%,7.40%,58.16,2.08% 2.69%,Yes,1.15,4.20%,6.20%,0.78,128.13,Yes,1.09,Jul 21 AMC,51.40%,1.40M,127.36,2.30,3.85%,5.33%,-9.53%,"1,095,979",-0.60%,0
RSG,Industrials,Republic Services Inc.,0.084461,141.9,S&P500,33.59,4.22,34.80%,316.60M,2.34%,42.98B,27.31,5.20,0.94%,315.05M,9.23%,1.35B,3.24,1.18,95.70%,0.47%,8.88%,11.67B,3.68,33.60%,-0.05%,1.24,11.66%,28.38,5.00,5.50%,145.43,20.02%,0.13,1101.94,10.36%,15.10%,113.57 - 145.98,1.76%,1.84,45.29,17.80%,9.70%,-2.79%,0.73,1.30%,0.70,3.80%,40.30%,24.94%,2.55,35000,0.80,14.30%,18.40%,72.51,1.77% 1.65%,Yes,1.07,19.90%,11.50%,1.14,141.54,Yes,1.07,Aug 04 AMC,41.80%,1.21M,141.90,2.20,7.06%,8.43%,8.29%,"1,374,275",0.25%,0
CMI,Industrials,Cummins Inc.,0.089535,220.02,S&P500,16.37,13.44,0.40%,142.20M,-0.58%,29.34B,11.19,19.66,-9.49%,140.51M,9.31%,1.95B,2.01,4.35,84.60%,1.48%,7.84%,24.31B,1.21,21.60%,-0.07%,2.21,-3.18%,59.32,3.71,8.30%,234.24,-3.61%,21.02,10.47,8.15%,23.70%,184.27 - 247.48,0.86%,6.28,57.42,12.20%,16.80%,-11.10%,1.03,2.85%,1.10,6.50%,23.60%,19.40%,5.35,59900,1.70,4.80%,10.30%,67.34,2.15% 2.42%,Yes,0.49,-28.20%,8.00%,0.70,219.54,Yes,0.42,Aug 02 BMO,42.10%,943.42K,220.02,2.20,6.31%,8.34%,3.53%,"657,456",0.22%,0
AWK,Utilities,American Water Works Company Inc.,0.081767,160.0,S&P500,21.81,7.14,0.20%,182.00M,0.13%,27.53B,32.20,4.83,-0.48%,180.26M,1.57%,1.30B,2.63,1.55,87.90%,1.04%,4.91%,3.82B,7.20,78.10%,0.09%,2.12,-1.19%,41.59,3.74,5.00%,163.67,-13.37%,0.40,387.81,8.30%,17.80%,129.45 - 189.65,-17.59%,2.62,-,21.60%,8.60%,-17.93%,0.44,1.68%,0.50,3.50%,-,20.23%,3.45,6400,0.60,-6.20%,51.20%,58.47,2.22% 2.04%,Yes,1.54,5.30%,34.00%,0.87,158.64,Yes,1.46,Jul 27 AMC,34.50%,884.38K,155.64,2.80,3.28%,4.86%,-2.79%,"773,179",-1.89%,0
WBA,Consumer Staples,Walgreens Boots Alliance Inc,0.079451,38.99,DJIA S&P500 NDQ100,6.61,5.89,0.10%,864.00M,-1.59%,33.36B,8.35,4.67,0.00%,714.63M,2.04%,5.11B,7.49,0.78,59.90%,3.82%,-10.94%,134.52B,0.25,2.40%,0.66%,4.09,-21.23%,30.39,1.28,5.90%,41.83,-16.92%,5.21,7.48,0.88%,21.00%,36.57 - 55.00,-25.25%,1.92,18.72,-9.70%,4.60%,-29.11%,0.59,4.92%,0.40,2.50%,21.80%,6.62%,0.93,202000,0.80,-4.20%,2.50%,47.83,1.98% 2.15%,Yes,0.55,-73.80%,4.00%,0.84,38.98,Yes,0.44,Jun 30 BMO,30.60%,6.67M,38.99,3.10,1.14%,-2.84%,-14.91%,"5,607,106",0.03%,1
DFS,Financials,Discover Financial Services,0.082186,102.35,S&P500,6.66,15.38,0.70%,279.00M,1.34%,27.76B,7.14,14.32,-0.73%,271.42M,2.68%,4.43B,-,3.78,87.20%,1.55%,-11.34%,11.07B,2.51,396.00%,-0.55%,2.06,-11.72%,45.55,2.25,4.00%,122.67,-19.47%,-,-,-,35.70%,88.02 - 135.69,-11.43%,2.40,5.04,25.40%,23.60%,-24.57%,1.45,2.34%,-,4.30%,-,16.28%,3.10,16700,-,12.60%,79.80%,52.42,2.03% 2.72%,Yes,1.57,-28.70%,40.00%,0.64,102.36,Yes,1.25,Jul 20 AMC,13.70%,2.04M,102.35,2.00,0.69%,0.78%,-8.58%,"1,311,890",-0.01%,0
KHC,Consumer Staples,Kraft Heinz Company,0.074579,37.52,S&P500 NDQ100,36.30,1.03,8.40%,1.23B,2.01%,45.37B,13.52,2.78,-0.30%,779.48M,-1.34%,1.28B,-,0.61,73.10%,1.89%,-12.91%,25.63B,1.77,180.70%,-8.78%,1.66,4.83%,39.83,0.94,1.60%,42.40,1.71%,1.26,29.89,-1.64%,3.10%,32.78 - 44.87,4.65%,1.60,36.18,-25.80%,3.60%,-16.27%,0.75,4.26%,0.50,-0.20%,32.00%,14.60%,0.89,36000,0.90,-0.90%,11.30%,48.31,2.03% 2.11%,Yes,0.43,37.80%,5.90%,0.53,37.03,Yes,0.40,Jul 27 BMO,129.20%,8.86M,37.57,2.90,-1.09%,-0.25%,-0.79%,"4,680,059",1.46%,0
AVB,Real Estate,AvalonBay Communities Inc.,0.080789,204.91,S&P500,25.54,8.02,0.30%,139.56M,-4.22%,27.06B,43.21,4.74,0.00%,139.37M,6.40%,1.12B,-,1.00,93.50%,1.82%,-5.45%,2.36B,11.48,22.00%,0.37%,3.15,-18.10%,78.65,2.61,5.10%,226.67,-10.59%,2.60,78.78,-13.04%,9.20%,183.35 - 259.05,-18.88%,6.36,88.90,-0.90%,1.90%,-20.90%,0.94,3.10%,-,2.30%,63.20%,11.76%,4.73,2927,-,11.40%,15.60%,56.81,2.64% 2.18%,Yes,0.73,83.90%,42.50%,0.54,203.80,Yes,0.73,Jul 27 AMC,88.50%,804.84K,204.91,2.60,3.43%,3.62%,-10.63%,"430,814",0.54%,0
BKR,Energy,Baker Hughes Company Class A,0.063374,24.1,S&P500,-,-0.43,0.10%,1.00B,-6.34%,23.91B,14.30,1.68,-99.19%,965.75M,-15.49%,-466.00M,-,0.26,90.30%,2.53%,-24.86%,20.46B,1.17,98.20%,-0.07%,2.41,-8.73%,14.87,1.62,-1.30%,35.82,15.34%,3.92,6.14,56.40%,-2.90%,19.84 - 39.78,0.00%,0.72,-,46.90%,2.90%,-39.52%,1.44,2.99%,1.10,15.80%,20.30%,21.27%,1.26,55000,1.50,-1.80%,3.80%,36.33,4.46% 4.17%,Yes,0.45,-893.40%,-2.30%,0.67,23.71,Yes,0.45,Jul 20 BMO,-,10.11M,24.06,2.00,-7.04%,-19.93%,-18.17%,"6,760,569",1.48%,0
MTD,Health Care,Mettler-Toledo International Inc.,0.088455,1347.72,S&P500,39.57,34.06,0.20%,22.77M,-0.15%,28.84B,31.88,42.27,-64.16%,22.33M,11.63%,793.30M,2.22,9.69,97.60%,1.77%,2.77%,3.81B,7.57,31.60%,0.05%,2.78,-9.88%,3.71,363.27,24.30%,1329.82,-11.77%,5.46,246.72,17.80%,523.10%,1082.78 - 1714.75,-20.59%,-,39.04,18.20%,41.50%,-21.40%,1.10,-,0.80,8.20%,58.20%,24.47%,33.73,15600,1.20,11.60%,25.60%,67.42,1.74% 2.73%,Yes,22.13,19.50%,20.80%,0.53,1346.88,Yes,20.88,Jul 28 AMC,0.00%,142.37K,1347.72,2.90,8.68%,10.71%,-2.70%,"75,892",0.06%,0
KDP,Consumer Staples,Keurig Dr Pepper Inc.,0.081535,38.68,S&P500 NDQ100,25.39,1.52,5.40%,1.42B,-0.05%,52.62B,21.05,1.84,-0.04%,843.87M,7.11%,2.18B,3.58,0.46,53.60%,1.99%,4.48%,13.27B,3.96,58.30%,-1.15%,1.41,-0.08%,17.91,2.16,4.30%,40.70,12.36%,0.41,95.32,7.09%,8.70%,32.44 - 39.42,5.05%,0.75,32.74,-19.80%,5.60%,-1.78%,0.64,1.94%,0.40,14.50%,53.10%,19.36%,0.66,27500,0.60,13.20%,21.20%,67.90,1.70% 1.67%,Yes,0.49,-51.50%,16.40%,0.50,38.68,Yes,0.48,Jul 28 BMO,48.90%,11.89M,38.72,2.30,4.20%,7.26%,5.63%,"5,970,344",0.10%,0
AMP,Financials,Ameriprise Financial Inc.,0.085849,269.06,S&P500,9.68,27.78,0.30%,113.70M,-0.32%,27.72B,9.66,27.84,-27.31%,108.13M,12.92%,3.25B,1.00,5.90,86.10%,0.85%,-0.61%,13.84B,2.00,88.50%,-0.17%,1.39,-11.57%,44.06,6.11,1.60%,294.80,2.82%,65.44,4.11,9.72%,50.00%,219.99 - 332.37,-10.81%,5.00,10.29,24.10%,9.50%,-19.05%,1.49,1.86%,-,2.60%,53.60%,22.31%,7.25,12000,-,9.00%,25.60%,65.12,2.08% 2.65%,Yes,5.34,83.10%,19.90%,0.92,270.48,Yes,0.90,Jul 26 AMC,18.80%,656.29K,269.06,1.90,9.16%,7.37%,-5.32%,"603,363",-0.52%,0
TROW,Financials,T. Rowe Price Group,0.081784,125.3,S&P500,10.11,12.36,0.60%,226.70M,1.27%,27.72B,14.36,8.71,-1.70%,222.93M,5.15%,2.83B,0.80,2.05,74.80%,7.44%,-1.81%,7.71B,3.60,31.50%,1.45%,9.69,-15.50%,39.54,3.16,19.70%,108.78,-41.09%,9.54,13.10,12.60%,26.80%,104.72 - 224.55,-36.41%,4.80,20.03,22.50%,31.20%,-44.32%,1.32,3.84%,-,12.40%,-,19.40%,3.74,7529,-,-21.60%,44.30%,59.25,2.68% 2.98%,Yes,0.00,-57.90%,30.70%,0.62,125.18,Yes,0.00,Jul 28 BMO,32.20%,1.71M,125.04,3.20,5.12%,5.51%,-19.22%,"1,066,996",-0.11%,0
FRC,Financials,First Republic Bank,0.082851,163.96,S&P500,20.29,8.08,0.30%,180.00M,0.77%,28.57B,17.10,9.59,0.00%,178.14M,8.45%,1.47B,2.31,2.20,98.90%,1.83%,9.85%,4.79B,5.97,31.90%,2.09%,2.87,-6.27%,69.56,2.36,0.80%,180.19,-17.67%,52.37,3.13,8.80%,11.50%,133.37 - 222.86,-20.60%,1.08,33.58,14.30%,26.40%,-26.43%,1.11,0.66%,-,17.20%,-,22.94%,3.87,6452,-,16.30%,84.70%,62.93,1.95% 2.42%,Yes,0.14,11.90%,28.80%,0.60,162.44,Yes,0.14,Jul 14 BMO,11.00%,1.14M,163.96,2.40,4.45%,8.70%,-6.05%,"676,419",0.94%,0
ENPH,Information Technology,Enphase Energy Inc.,0.11307,299.0,S&P500,212.21,1.42,1.30%,135.20M,5.89%,36.54B,63.44,4.74,-25.58%,132.65M,45.48%,203.20M,6.58,1.03,74.00%,3.39%,66.12%,1.74B,21.05,7.80%,0.56%,1.47,126.40%,3.34,90.09,9.00%,260.14,64.03%,10.28,29.29,32.27%,43.70%,113.40 - 298.97,64.49%,-,78.32,22.50%,12.50%,0.65%,1.45,-,3.30,33.80%,40.30%,165.35%,17.03,2260,3.60,67.70%,14.40%,77.99,6.20% 7.02%,Yes,2.85,92.60%,11.70%,1.19,295.82,Yes,2.66,Jul 26 AMC,0.00%,3.07M,300.91,2.00,28.78%,44.56%,59.12%,"3,660,545",1.72%,0
AME,Industrials,AMETEK Inc.,0.082314,126.25,S&P500,28.20,4.48,0.40%,231.48M,2.23%,28.00B,21.70,5.82,-0.65%,229.82M,11.32%,1.04B,-,1.29,89.40%,0.64%,3.34%,5.79B,4.84,12.70%,0.74%,1.36,-8.69%,29.94,4.22,8.80%,145.44,-7.78%,1.53,82.27,-1.20%,15.60%,106.17 - 148.07,-14.14%,0.88,36.42,14.20%,11.40%,-14.74%,1.26,0.70%,0.90,7.60%,34.50%,18.91%,2.77,18500,1.40,20.00%,23.60%,71.50,2.25% 2.22%,Yes,0.37,23.90%,18.00%,0.73,125.38,Yes,0.32,Aug 02 BMO,18.20%,1.09M,126.25,2.10,8.58%,9.28%,-2.46%,"788,480",0.69%,0
WY,Real Estate,Weyerhaeuser Company,0.074912,35.12,S&P500,9.77,3.59,0.30%,747.51M,-3.30%,25.74B,22.57,1.56,0.30%,742.92M,1.86%,2.70B,1.95,0.44,84.40%,1.21%,-13.60%,10.81B,2.38,225.80%,0.15%,1.93,-11.96%,13.69,2.57,14.80%,41.40,7.01%,1.64,21.36,5.00%,25.00%,31.68 - 42.86,-11.66%,0.72,11.60,44.90%,18.50%,-18.06%,1.51,2.05%,2.20,9.90%,41.50%,10.86%,0.91,9214,2.80,24.20%,33.70%,47.32,2.31% 2.39%,Yes,0.00,13.40%,24.10%,0.60,35.19,Yes,0.49,Jul 29 BMO,19.60%,4.65M,35.12,1.90,-0.57%,-1.37%,-6.88%,"2,791,886",-0.20%,0
ROST,Consumer Discretionary,Ross Stores Inc.,0.084722,84.45,S&P500 NDQ100,18.73,4.50,0.40%,347.05M,3.65%,29.11B,16.40,5.14,-0.07%,346.95M,10.05%,1.58B,0.54,1.03,90.50%,2.51%,-15.68%,18.73B,1.55,3.50%,0.20%,2.13,-10.75%,11.68,7.21,11.60%,96.35,-30.20%,11.62,7.25,34.73%,39.60%,69.24 - 127.34,-26.30%,1.24,-,11.50%,27.60%,-33.85%,1.03,1.47%,1.20,8.00%,26.80%,21.65%,2.62,100000,1.90,-4.10%,11.50%,59.08,3.46% 2.83%,Yes,0.61,-27.60%,8.50%,0.33,83.76,Yes,0.61,May 19 AMC,25.80%,4.08M,84.23,2.20,5.29%,7.26%,-12.20%,"1,348,197",0.56%,0
OKE,Energy,ONEOK Inc.,0.072919,58.54,S&P500,17.44,3.36,0.50%,447.12M,-1.99%,26.39B,13.66,4.29,-0.92%,443.90M,3.61%,1.50B,1.60,0.86,67.40%,1.80%,-8.59%,18.79B,1.40,136.40%,0.03%,2.80,-5.67%,13.40,4.37,6.30%,69.62,12.14%,0.03,1807.55,10.87%,25.30%,48.51 - 75.07,-0.36%,3.74,894.58,15.00%,10.70%,-22.01%,1.69,6.39%,0.50,13.10%,22.80%,20.70%,1.76,2847,0.80,70.40%,13.80%,50.33,2.70% 2.64%,Yes,2.29,1.00%,8.00%,0.83,57.62,Yes,2.13,Aug 08 AMC,111.10%,2.85M,58.55,2.70,1.17%,-1.68%,-7.00%,"2,363,601",1.61%,0
TSN,Consumer Staples,Tyson Foods Inc. Class A,0.072482,87.44,S&P500,7.51,11.64,0.30%,361.00M,-0.64%,30.78B,11.05,7.91,-8.61%,284.80M,1.60%,4.05B,1.00,1.97,87.60%,1.77%,-3.80%,51.34B,0.60,48.00%,0.60%,2.67,-3.18%,52.67,1.66,11.20%,97.82,24.68%,3.27,26.74,7.50%,22.60%,70.04 - 100.72,0.33%,1.84,19.61,13.00%,12.60%,-13.18%,0.66,2.10%,0.90,5.00%,15.50%,24.87%,1.67,137000,1.90,16.10%,10.90%,59.31,1.46% 1.90%,Yes,0.44,73.70%,7.90%,0.97,86.57,Yes,0.43,Aug 08 BMO,15.50%,1.89M,87.45,2.40,3.75%,2.37%,-0.36%,"1,843,874",1.02%,0
KEYS,Information Technology,Keysight Technologies Inc,0.087904,167.69,S&P500,30.26,5.53,0.20%,181.00M,2.87%,28.80B,21.50,7.78,-1.33%,179.00M,16.97%,1.02B,2.34,1.79,90.60%,1.78%,18.70%,5.14B,5.60,44.10%,0.26%,3.38,0.83%,20.88,8.01,13.20%,179.00,0.52%,10.95,15.27,12.91%,27.10%,127.93 - 209.08,-19.01%,-,30.67,19.70%,17.30%,-20.00%,1.09,-,2.30,11.10%,64.00%,30.74%,3.70,14500,2.90,10.60%,23.90%,73.99,1.86% 2.37%,Yes,0.47,41.70%,19.90%,0.50,168.02,Yes,0.47,Aug 17 AMC,0.00%,944.31K,167.26,2.00,10.31%,15.51%,2.19%,"467,649",-0.45%,0
DTE,Utilities,DTE Energy Company,0.070979,129.1,S&P500,31.70,4.07,0.20%,193.00M,-0.92%,24.31B,20.54,6.29,-2.99%,192.49M,3.00%,790.00M,9.11,1.70,74.60%,1.22%,0.21%,15.76B,1.54,-24.90%,-0.08%,2.38,7.53%,45.92,2.81,-,138.56,8.19%,0.80,162.06,3.48%,-,108.22 - 140.23,8.00%,3.54,-,-3.30%,4.60%,-7.94%,0.62,2.74%,0.50,7.10%,-,19.29%,2.34,10300,0.60,21.10%,-,57.91,1.85% 1.71%,Yes,2.09,-1.00%,-,0.74,129.00,Yes,1.76,Jul 28 BMO,-,987.60K,129.10,2.30,2.39%,2.16%,4.84%,"731,504",0.08%,0
CBRE,Real Estate,CBRE Group Inc. Class A,0.076883,83.97,S&P500,14.51,5.79,0.70%,337.14M,-1.93%,26.54B,13.10,6.41,-2.88%,325.45M,10.44%,1.96B,1.32,1.40,99.70%,1.68%,2.69%,29.14B,0.91,143.30%,0.37%,2.61,-17.77%,25.12,3.34,9.60%,101.83,-14.43%,5.24,16.01,11.00%,24.10%,67.68 - 111.00,-22.62%,-,13.67,26.10%,9.30%,-24.35%,1.38,-,1.20,9.80%,22.40%,24.07%,1.94,105000,1.20,23.50%,6.00%,60.95,2.28% 2.04%,Yes,0.36,48.40%,6.70%,0.69,82.31,Yes,0.19,Aug 04 BMO,0.00%,2.10M,83.97,2.00,4.45%,8.19%,-8.28%,"1,457,089",2.02%,0
EQR,Real Estate,Equity Residential,0.072488,75.22,S&P500,22.57,3.33,0.20%,375.51M,-4.04%,27.32B,51.20,1.47,-13.85%,369.43M,4.59%,1.25B,-,0.34,94.50%,1.22%,-3.34%,2.61B,10.47,44.80%,0.02%,2.50,-17.87%,28.70,2.62,6.40%,82.62,-11.11%,0.11,664.83,-,12.50%,67.48 - 94.32,-16.88%,2.50,76.33,-21.20%,8.60%,-20.25%,0.83,3.32%,-,0.30%,62.70%,11.47%,1.60,2400,-,9.30%,64.20%,55.30,2.48% 1.90%,Yes,0.76,22.40%,51.00%,0.78,74.93,Yes,0.75,Jul 26 AMC,67.80%,1.80M,75.22,2.70,2.48%,2.64%,-9.66%,"1,401,235",0.39%,0
APTV,Consumer Discretionary,Aptiv PLC,0.076094,98.41,S&P500,83.12,1.18,0.30%,270.79M,-6.18%,25.49B,17.20,5.72,-7.58%,269.75M,6.16%,321.00M,1.68,0.58,98.30%,1.59%,-5.94%,15.77B,1.62,-70.30%,-,2.06,-25.37%,31.01,3.17,1.70%,138.41,-38.36%,18.83,5.23,49.34%,3.80%,84.14 - 180.81,-40.34%,-,579.39,-8.60%,7.60%,-45.57%,2.01,-,2.00,4.90%,14.60%,16.96%,4.48,155000,2.60,3.90%,5.50%,49.43,3.85% 3.81%,Yes,0.78,-73.80%,2.00%,1.57,99.07,Yes,0.77,Aug 04 BMO,115.90%,2.08M,98.41,2.10,0.96%,0.92%,-23.18%,"3,268,388",-0.67%,0
ODFL,Industrials,Old Dominion Freight Line Inc.,0.07967,303.16,S&P500 NDQ100,28.11,10.79,0.20%,114.42M,-0.11%,30.97B,24.88,12.18,-14.63%,99.21M,10.77%,1.24B,1.22,3.11,74.20%,3.99%,7.01%,5.98B,5.18,56.50%,-0.28%,4.30,-7.47%,30.62,9.90,22.10%,288.83,11.38%,5.30,57.21,22.95%,29.50%,231.31 - 373.58,-15.41%,1.20,54.32,30.20%,27.50%,-18.85%,1.02,0.40%,2.20,11.90%,87.70%,31.07%,9.54,23663,2.20,32.90%,23.30%,67.21,2.52% 3.25%,Yes,0.00,53.10%,17.30%,0.71,299.08,Yes,0.03,Jul 27 BMO,8.90%,920.73K,303.17,2.70,9.40%,15.24%,0.64%,"650,717",1.37%,0
GLW,Information Technology,Corning Inc,0.079266,35.8,S&P500,15.39,2.33,0.10%,843.00M,-2.61%,28.85B,14.41,2.48,-21.11%,741.05M,9.61%,2.00B,0.72,0.54,72.40%,2.75%,-2.00%,14.59B,1.98,138.40%,-0.15%,4.16,-15.98%,14.70,2.44,3.60%,40.49,-12.45%,2.50,14.31,21.48%,8.80%,30.63 - 43.47,-3.84%,1.08,31.91,-16.90%,8.40%,-17.64%,0.99,3.02%,1.00,8.40%,35.10%,16.88%,0.86,61200,1.60,11.90%,14.50%,59.07,1.48% 2.41%,Yes,0.56,5.60%,7.40%,0.95,36.49,Yes,0.55,Jul 26 BMO,71.60%,4.90M,35.80,2.00,3.86%,5.81%,-2.26%,"4,648,431",-1.89%,0
EIX,Utilities,Edison International,0.074332,68.26,S&P500,44.44,1.54,0.10%,381.00M,0.72%,24.34B,14.06,4.86,0.14%,380.86M,8.83%,584.00M,8.89,1.69,89.60%,1.30%,-0.81%,15.91B,1.53,1.10%,0.09%,2.73,11.19%,36.21,1.89,0.70%,73.13,23.59%,0.34,199.50,5.00%,3.90%,54.67 - 73.32,0.01%,2.80,-,-12.70%,3.90%,-6.90%,0.67,4.10%,0.60,4.70%,65.00%,24.86%,1.44,13003,0.60,20.90%,7.90%,65.56,2.16% 2.00%,Yes,2.12,-24.40%,3.30%,1.32,68.95,Yes,1.82,Jul 28 AMC,204.60%,1.81M,68.26,2.20,7.13%,5.93%,4.47%,"2,392,249",-1.00%,0
EBAY,Consumer Discretionary,eBay Inc.,0.076584,47.46,S&P500 NDQ100,-,-2.89,0.20%,587.00M,-2.78%,25.68B,10.83,4.37,-5.55%,554.97M,7.90%,-1655.00M,-,0.89,91.60%,3.74%,-1.58%,10.27B,2.50,-89.00%,-0.64%,2.89,-17.33%,12.02,3.93,42.10%,56.24,-29.73%,10.22,4.63,8.53%,114.20%,40.52 - 81.19,-28.90%,0.88,19.59,-43.10%,14.70%,-41.77%,1.21,1.86%,1.50,2.30%,73.40%,16.68%,1.58,10800,1.50,-5.90%,27.00%,53.81,3.84% 2.89%,Yes,1.18,-378.30%,-,0.76,47.87,Yes,0.93,Aug 03 AMC,4.40%,7.16M,47.28,2.50,3.03%,4.67%,-17.17%,"5,475,508",-1.23%,1
ALB,Materials,Albemarle Corporation,0.078004,237.99,S&P500,100.08,2.38,0.20%,117.07M,-2.59%,26.73B,15.11,15.76,2.89%,116.91M,17.24%,281.40M,1.43,3.20,84.80%,1.84%,0.63%,3.63B,7.37,-69.80%,0.64%,1.53,10.66%,49.77,4.78,2.60%,275.50,8.86%,4.13,57.69,69.82%,4.80%,169.93 - 291.48,1.81%,1.58,-,-22.90%,9.50%,-18.35%,1.57,0.66%,0.60,4.40%,32.60%,40.05%,9.61,6000,1.10,36.00%,26.50%,59.54,5.01% 3.87%,Yes,0.43,155.10%,7.80%,1.01,234.89,Yes,0.34,Aug 03 AMC,64.80%,1.41M,237.99,2.30,8.11%,5.46%,5.06%,"1,426,487",1.32%,0
AEE,Utilities,Ameren Corporation,0.066984,91.3,S&P500,23.39,3.90,0.50%,257.90M,-1.95%,22.63B,20.90,4.37,-6.78%,257.12M,3.47%,1.01B,3.67,0.84,80.00%,1.19%,-2.09%,6.71B,3.37,9.70%,-1.42%,2.08,3.74%,38.02,2.40,2.90%,96.42,6.00%,0.03,3233.06,6.37%,10.50%,80.27 - 99.20,2.57%,2.36,15.63,7.50%,5.00%,-7.96%,0.36,2.58%,0.50,1.00%,82.70%,13.75%,1.77,9116,0.60,20.00%,20.10%,57.69,2.15% 1.70%,Yes,1.44,6.90%,15.00%,1.07,91.59,Yes,1.28,Aug 04 AMC,42.10%,1.47M,91.30,2.20,2.63%,2.17%,2.84%,"1,578,865",-0.32%,0
ETR,Utilities,Entergy Corporation,0.069119,118.0,S&P500,22.51,5.23,0.40%,202.94M,2.27%,23.10B,17.44,6.75,-22.06%,202.62M,6.46%,1.06B,3.72,1.40,90.30%,1.91%,-0.47%,11.78B,1.96,-19.70%,0.57%,3.45,5.15%,57.70,2.04,1.80%,124.71,10.60%,3.58,32.93,6.04%,9.30%,98.50 - 126.82,4.52%,4.04,12.18,29.90%,4.30%,-7.16%,0.58,3.43%,0.50,1.60%,88.70%,19.54%,2.28,12369,0.70,1.20%,16.20%,64.51,2.06% 1.76%,Yes,2.44,-18.50%,9.00%,0.76,118.93,Yes,2.24,Aug 03 BMO,74.50%,1.12M,117.74,2.20,5.34%,4.33%,5.79%,"845,470",-1.00%,0
CPRT,Industrials,Copart Inc.,0.079102,128.81,S&P500 NDQ100,28.77,4.49,10.04%,237.50M,0.87%,29.45B,27.17,4.76,-0.44%,213.83M,12.25%,1.08B,1.29,1.10,82.90%,1.18%,14.26%,3.37B,8.75,32.90%,-0.01%,2.18,0.62%,18.33,7.05,21.60%,156.43,-12.81%,7.37,17.53,22.30%,27.50%,102.21 - 161.12,-14.77%,-,38.79,28.60%,24.20%,-19.80%,1.14,-,5.30,16.20%,47.00%,26.43%,2.82,8600,5.50,28.10%,40.20%,68.81,1.80% 2.23%,Yes,0.00,-3.10%,32.20%,0.84,130.34,Yes,0.09,May 18 AMC,0.00%,1.16M,129.22,1.80,6.80%,12.49%,0.89%,"972,544",-0.86%,0
SIVB,Financials,SVB Financial Group,0.069264,413.21,S&P500,15.91,25.97,0.20%,58.80M,2.39%,22.95B,10.78,38.32,-8.89%,58.54M,-2.36%,1.54B,1.99,8.11,94.20%,3.11%,-19.51%,4.25B,5.39,36.60%,0.38%,2.98,-31.25%,209.76,1.97,0.90%,511.88,-27.42%,415.07,1.00,8.00%,15.10%,355.37 - 763.22,-39.08%,-,13.51,33.70%,15.90%,-45.86%,1.77,-,-,22.50%,-,16.28%,19.56,7149,-,65.30%,71.80%,51.58,2.85% 4.34%,Yes,0.21,-21.00%,41.60%,0.49,416.26,Yes,0.21,Jul 21 AMC,0.00%,611.43K,413.21,2.00,2.32%,-2.21%,-27.25%,"301,740",-0.73%,0
