,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
RSG,Industrials,Republic Services Inc.,0.083501,139.07,S&P500,32.83,4.22,34.80%,316.60M,5.83%,43.87B,26.67,5.20,0.90%,315.05M,6.49%,1.35B,3.10,1.18,95.80%,0.47%,0.40%,11.67B,3.76,33.60%,0.05%,1.22,12.19%,28.38,4.89,5.50%,145.43,20.07%,0.12,1124.99,10.61%,15.10%,113.57 - 145.98,-0.57%,1.84,46.24,17.80%,9.70%,-5.01%,0.72,1.33%,0.70,3.80%,40.30%,22.09%,2.52,35000,0.80,14.30%,18.40%,69.08,1.78% 1.82%,Yes,1.07,19.90%,11.50%,1.34,137.26,Yes,1.07,Aug 04 AMC,41.80%,1.22M,138.66,2.20,6.27%,6.74%,6.06%,"1,638,438",1.02%
CMI,Industrials,Cummins Inc.,0.089466,221.32,S&P500,16.47,13.44,0.40%,142.20M,7.85%,31.37B,11.18,19.79,-8.98%,140.51M,14.22%,1.95B,2.02,4.35,85.00%,1.48%,13.80%,24.31B,1.29,21.60%,0.29%,2.18,-1.24%,59.32,3.73,8.30%,234.80,-5.08%,19.78,11.19,8.15%,23.70%,184.27 - 247.48,1.45%,6.28,61.39,12.20%,16.80%,-10.57%,1.01,2.84%,1.10,6.50%,23.60%,20.10%,5.76,59900,1.70,4.80%,10.30%,71.73,2.66% 2.56%,Yes,0.49,-28.20%,8.00%,1.12,215.19,Yes,0.42,Aug 02 BMO,42.10%,954.76K,221.31,2.20,10.06%,9.89%,3.94%,"1,071,901",2.84%
AWK,Utilities,American Water Works Company Inc.,0.081715,155.2,S&P500,21.96,7.08,0.20%,182.00M,4.87%,27.82B,32.16,4.83,-0.48%,180.26M,6.60%,1.29B,2.65,1.16,87.90%,1.04%,-3.26%,3.88B,7.16,78.10%,0.12%,2.04,-0.45%,40.99,3.79,5.00%,161.17,-8.96%,0.42,370.92,8.30%,18.20%,129.45 - 189.65,-17.70%,2.62,-,21.60%,8.60%,-18.04%,0.42,1.69%,0.50,3.50%,-,20.08%,3.49,6400,0.50,-5.20%,50.50%,62.43,1.92% 2.28%,Yes,1.44,18.80%,33.20%,0.85,155.51,Yes,1.39,Jul 27 AMC,34.10%,918.19K,155.44,2.80,4.06%,5.50%,-3.13%,"777,372",-0.05%
WBA,Consumer Staples,Walgreens Boots Alliance Inc,0.081954,39.55,DJIA S&P500 NDQ100,6.72,5.89,0.10%,864.00M,2.48%,34.06B,8.48,4.67,0.00%,714.63M,-3.06%,5.11B,7.61,0.78,59.90%,3.82%,-11.03%,134.52B,0.25,2.40%,0.62%,4.02,-20.76%,30.39,1.30,5.90%,41.83,-15.77%,5.18,7.64,0.88%,21.00%,36.57 - 55.00,-24.04%,1.92,19.12,-9.70%,4.60%,-27.96%,0.59,4.85%,0.40,2.50%,21.80%,8.34%,0.98,202000,0.80,-4.20%,2.50%,53.51,2.08% 2.44%,Yes,0.55,-73.80%,4.00%,1.44,39.44,Yes,0.44,Jun 30 BMO,30.60%,6.78M,39.62,3.10,3.55%,-1.91%,-13.97%,"9,740,094",0.46%
DFS,Financials,Discover Financial Services,0.081428,101.0,S&P500,6.57,15.38,0.60%,285.00M,1.00%,27.77B,7.05,14.32,-0.83%,279.27M,5.66%,4.43B,-,3.78,85.50%,1.51%,-12.92%,11.07B,2.51,396.00%,-0.33%,2.05,-10.79%,43.43,2.33,4.90%,122.67,-19.52%,-,-,-,43.60%,88.02 - 135.69,-12.60%,2.40,5.28,25.40%,23.60%,-25.57%,1.47,2.38%,-,4.30%,-,14.75%,3.49,16700,-,3.40%,84.00%,50.08,2.45% 3.07%,Yes,1.38,-16.00%,48.40%,1.14,99.48,Yes,1.17,Jul 20 AMC,10.60%,2.06M,101.00,2.20,0.39%,-0.95%,-10.30%,"2,341,409",1.53%
KHC,Consumer Staples,Kraft Heinz Company,0.076361,36.8,S&P500 NDQ100,46.15,0.80,8.40%,1.23B,-3.89%,44.64B,13.27,2.77,-0.30%,780.53M,-3.03%,990.00M,-,0.68,73.00%,1.88%,-15.55%,25.69B,1.74,180.70%,-8.88%,1.65,2.05%,40.53,0.91,1.30%,42.95,-5.52%,2.46,14.99,-1.66%,2.50%,32.78 - 44.87,2.59%,1.60,20.40,-25.80%,3.60%,-17.92%,0.77,4.34%,0.70,-0.20%,33.10%,12.34%,0.97,36000,1.00,-5.50%,13.80%,41.50,2.53% 2.12%,Yes,0.44,37.60%,4.80%,1.11,37.19,Yes,0.42,Jul 27 BMO,160.00%,8.92M,36.83,2.90,-3.73%,-2.85%,-2.73%,"9,923,647",-0.97%
AVB,Real Estate,AvalonBay Communities Inc.,0.085776,213.94,S&P500,26.67,8.02,0.30%,139.56M,7.91%,29.58B,45.12,4.74,0.00%,139.37M,9.67%,1.12B,-,0.92,93.40%,1.82%,-10.67%,2.36B,12.55,22.00%,0.19%,3.09,-9.81%,78.65,2.72,-,225.33,-6.95%,2.48,86.12,-13.04%,-,183.35 - 259.05,-15.30%,6.36,-,-0.90%,1.90%,-17.41%,0.92,2.97%,-,2.30%,63.20%,16.68%,4.57,2927,-,11.40%,-,73.80,2.54% 2.13%,Yes,0.73,83.90%,-,1.08,212.24,Yes,0.73,Jul 27 AMC,-,820.76K,213.94,2.60,9.68%,8.39%,-6.92%,"889,486",0.80%
BKR,Energy,Baker Hughes Company Class A,0.068069,25.69,S&P500,-,-0.43,0.10%,1.00B,6.69%,27.09B,15.26,1.68,-99.15%,938.57M,-13.30%,-466.00M,-,0.26,92.70%,2.60%,-19.64%,20.46B,1.32,98.20%,-0.22%,2.41,-5.90%,14.87,1.73,-1.30%,36.01,21.29%,3.69,6.96,56.40%,-2.90%,19.84 - 39.78,6.77%,0.72,-,46.90%,2.90%,-35.42%,1.48,2.80%,1.10,15.80%,20.30%,29.49%,1.32,55000,1.50,-1.80%,3.80%,40.04,3.92% 4.33%,Yes,0.45,-893.40%,-2.30%,1.27,24.98,Yes,0.45,Jul 20 BMO,-,10.14M,25.69,2.00,-3.98%,-17.28%,-12.75%,"12,840,970",2.84%
MTD,Health Care,Mettler-Toledo International Inc.,0.08696,1347.62,S&P500,39.63,34.06,0.20%,22.77M,10.26%,31.02B,32.14,42.00,-58.30%,22.33M,17.78%,793.30M,2.23,8.76,97.60%,1.77%,4.35%,3.81B,8.14,31.60%,0.06%,2.74,-3.35%,3.71,363.81,24.30%,1310.09,-10.71%,5.09,265.33,17.80%,523.10%,1082.78 - 1714.75,-20.47%,-,41.99,18.20%,41.50%,-21.29%,1.09,-,0.80,8.20%,58.20%,24.65%,37.18,15600,1.20,11.60%,25.60%,70.63,2.87% 2.99%,Yes,22.13,19.50%,20.80%,1.42,1298.96,Yes,20.88,Jul 28 AMC,0.00%,144.54K,1349.73,2.90,12.86%,12.00%,-2.63%,"205,197",3.91%
KDP,Consumer Staples,Keurig Dr Pepper Inc.,0.082735,38.79,S&P500 NDQ100,22.95,1.69,5.40%,1.42B,6.34%,54.73B,21.11,1.83,-0.06%,841.40M,8.58%,2.41B,3.27,0.39,54.20%,1.99%,1.97%,12.86B,4.26,58.30%,0.02%,1.38,3.03%,17.99,2.15,4.80%,40.48,10.84%,0.42,92.45,7.02%,9.70%,32.44 - 39.35,5.10%,0.75,35.86,-19.80%,5.60%,-1.55%,0.62,1.94%,0.40,14.50%,54.80%,19.42%,0.67,27500,0.50,6.10%,24.50%,75.96,2.19% 1.73%,Yes,0.49,77.60%,18.70%,0.60,38.50,Yes,0.48,Jul 28 BMO,44.20%,12.13M,38.74,2.30,6.28%,8.50%,5.94%,"7,311,385",0.62%
AMP,Financials,Ameriprise Financial Inc.,0.084965,269.92,S&P500,10.36,26.05,0.30%,113.70M,10.14%,29.70B,9.75,27.68,-26.02%,109.63M,12.47%,3.08B,1.07,5.56,85.00%,0.84%,-1.10%,13.74B,2.16,88.50%,-0.06%,1.39,-11.13%,44.06,6.13,1.80%,285.00,4.13%,61.27,4.41,9.72%,55.80%,219.99 - 332.37,-10.52%,5.00,7.28,24.10%,9.50%,-18.79%,1.48,1.85%,-,2.60%,51.10%,22.70%,7.84,12000,-,9.00%,28.90%,69.24,3.26% 2.88%,Yes,5.34,83.10%,22.40%,1.28,262.59,Yes,0.90,Jul 26 AMC,17.00%,659.21K,269.92,1.90,13.14%,8.05%,-5.15%,"840,969",2.79%
TROW,Financials,T. Rowe Price Group,0.080444,123.5,S&P500,9.99,12.36,0.60%,228.20M,1.97%,28.44B,13.17,9.38,-0.73%,222.93M,6.90%,2.83B,0.79,2.19,74.70%,7.44%,-4.55%,7.71B,3.69,31.50%,1.30%,9.53,-17.60%,39.68,3.11,23.80%,111.89,-39.46%,8.67,14.24,12.60%,33.00%,104.72 - 224.55,-37.21%,4.80,17.81,22.50%,31.20%,-45.02%,1.33,3.89%,-,12.40%,-,17.90%,3.87,7529,-,2.00%,47.90%,58.73,3.01% 3.06%,Yes,0.00,-23.90%,36.70%,2.29,120.78,Yes,0.00,Jul 28 BMO,26.00%,1.74M,123.47,3.20,5.56%,4.38%,-21.14%,"3,989,308",2.23%
FRC,Financials,First Republic Bank,0.083077,162.71,S&P500,20.13,8.08,0.30%,180.00M,2.55%,29.97B,16.97,9.59,0.00%,178.14M,11.55%,1.47B,2.29,2.20,97.90%,1.83%,5.88%,4.79B,6.26,31.90%,1.00%,2.88,-0.80%,69.56,2.34,0.80%,180.19,-18.03%,49.55,3.28,8.80%,11.50%,133.37 - 222.86,-21.21%,1.08,35.22,14.30%,26.40%,-26.99%,1.12,0.66%,-,17.20%,-,22.00%,3.93,6452,-,16.30%,84.70%,64.26,2.12% 2.60%,Yes,0.14,11.90%,28.80%,0.93,159.77,Yes,0.14,Jul 14 BMO,11.00%,1.13M,162.71,2.40,6.02%,9.12%,-7.36%,"1,058,772",1.84%
ENPH,Information Technology,Enphase Energy Inc.,0.106842,284.0,S&P500,244.77,1.16,1.30%,134.33M,34.34%,39.87B,66.15,4.30,-22.84%,132.25M,53.91%,165.60M,11.80,0.84,74.20%,3.40%,72.79%,1.52B,26.20,7.80%,0.48%,1.54,136.88%,2.46,115.52,7.60%,233.25,56.09%,7.58,37.49,20.74%,33.20%,113.40 - 285.00,55.34%,-,123.09,22.50%,12.50%,-0.29%,1.34,-,3.20,33.80%,40.00%,150.60%,16.57,2260,3.40,46.20%,14.20%,76.92,7.40% 7.17%,Yes,3.88,65.50%,10.90%,1.80,274.18,Yes,3.62,Jul 26 AMC,0.00%,2.93M,284.18,2.00,34.83%,45.25%,52.59%,"5,285,133",3.65%
AME,Industrials,AMETEK Inc.,0.080751,123.5,S&P500,27.59,4.48,0.40%,231.48M,7.08%,28.59B,21.26,5.81,-0.62%,229.82M,11.72%,1.04B,-,1.29,89.50%,0.64%,-3.61%,5.79B,4.94,12.70%,0.84%,1.32,-6.76%,29.94,4.12,8.80%,145.44,-10.89%,1.47,84.02,-1.20%,15.60%,106.17 - 148.07,-16.01%,0.88,37.20,14.20%,11.40%,-16.59%,1.25,0.71%,0.90,7.60%,34.50%,16.32%,2.57,18500,1.40,20.00%,23.60%,71.59,2.16% 2.18%,Yes,0.37,23.90%,18.00%,1.01,120.65,Yes,0.32,Aug 02 BMO,18.20%,1.11M,123.50,2.00,9.21%,7.48%,-4.63%,"1,119,243",2.36%
WY,Real Estate,Weyerhaeuser Company,0.078931,36.03,S&P500,10.11,3.59,0.30%,747.51M,2.28%,27.03B,23.30,1.56,0.29%,742.92M,9.93%,2.70B,2.02,0.98,84.30%,1.21%,-13.32%,10.81B,2.50,225.80%,0.04%,1.87,-0.70%,13.69,2.65,15.30%,41.30,9.55%,1.62,22.43,5.00%,25.80%,31.68 - 42.86,-8.64%,0.72,19.45,44.90%,18.50%,-15.26%,1.51,1.98%,2.20,9.90%,41.50%,14.65%,0.93,9214,2.80,24.20%,34.70%,59.89,2.42% 2.64%,Yes,0.00,13.40%,25.00%,0.72,36.37,Yes,0.49,Jul 29 BMO,19.20%,4.79M,36.32,2.20,4.32%,1.36%,-3.70%,"3,454,175",-0.14%
ROST,Consumer Discretionary,Ross Stores Inc.,0.083937,80.47,S&P500 NDQ100,18.07,4.50,0.40%,347.05M,-2.38%,28.56B,15.74,5.16,-0.07%,346.95M,13.16%,1.58B,0.52,1.03,90.70%,2.51%,-21.99%,18.73B,1.52,3.50%,0.40%,2.12,-14.35%,11.68,6.96,11.60%,96.55,-33.71%,11.42,7.11,34.73%,39.60%,69.24 - 127.34,-28.89%,1.24,-,11.50%,27.60%,-36.19%,1.04,1.53%,1.20,8.00%,26.80%,17.36%,2.51,100000,1.90,-4.10%,11.50%,55.21,2.62% 2.88%,Yes,0.61,-27.60%,8.50%,0.49,81.40,Yes,0.61,May 19 AMC,25.80%,4.11M,81.26,2.20,4.56%,3.02%,-15.85%,"2,029,034",-0.17%
OKE,Energy,ONEOK Inc.,0.077888,60.19,S&P500,17.79,3.36,0.50%,447.12M,3.02%,26.87B,13.89,4.30,-0.93%,443.90M,6.43%,1.50B,1.67,0.88,67.40%,1.80%,-10.73%,18.79B,1.43,136.40%,-0.03%,2.78,-0.71%,13.40,4.46,6.30%,69.53,11.04%,0.03,1840.36,10.64%,25.30%,48.51 - 75.07,1.67%,3.74,910.82,15.00%,10.70%,-20.42%,1.69,6.26%,0.50,13.10%,22.80%,23.15%,1.79,2847,0.80,70.40%,13.80%,56.13,2.16% 2.91%,Yes,2.29,1.00%,8.00%,0.99,60.37,Yes,2.13,Aug 08 AMC,111.10%,2.87M,59.74,2.70,4.69%,-0.60%,-5.32%,"2,842,203",-1.04%
TSN,Consumer Staples,Tyson Foods Inc. Class A,0.07443,88.0,S&P500,7.56,11.64,0.30%,361.00M,7.22%,31.87B,11.13,7.91,-8.39%,284.80M,1.98%,4.05B,1.01,1.97,87.20%,1.77%,-8.03%,51.34B,0.62,48.00%,0.13%,2.57,-2.23%,52.67,1.67,11.20%,97.82,22.37%,3.18,27.69,7.50%,22.60%,70.04 - 100.72,0.98%,1.84,20.30,13.00%,12.60%,-12.62%,0.65,2.09%,0.90,5.00%,15.50%,25.67%,1.77,137000,1.90,16.10%,10.90%,64.25,2.19% 2.09%,Yes,0.44,73.70%,7.90%,0.73,87.20,Yes,0.43,Aug 08 BMO,15.50%,1.96M,88.01,2.40,4.97%,3.14%,0.51%,"1,436,884",0.93%
KEYS,Information Technology,Keysight Technologies Inc,0.084985,162.6,S&P500,29.41,5.53,0.20%,181.00M,7.98%,29.81B,20.91,7.78,-1.25%,179.00M,17.25%,1.02B,2.28,1.79,90.50%,1.78%,12.00%,5.14B,5.80,44.10%,0.14%,3.28,0.92%,20.88,7.79,13.20%,179.00,0.55%,10.29,15.80,12.91%,27.10%,127.93 - 209.08,-21.26%,-,31.74,19.70%,17.30%,-22.23%,1.07,-,2.30,11.10%,64.00%,27.10%,3.85,14500,2.90,10.60%,23.90%,72.23,2.47% 2.55%,Yes,0.47,41.70%,19.90%,0.76,159.34,Yes,0.47,May 17 AMC,0.00%,973.43K,162.60,2.00,11.99%,14.37%,-0.70%,"744,404",2.05%
DTE,Utilities,DTE Energy Company,0.072479,135.58,S&P500,32.00,4.07,0.20%,193.00M,5.29%,24.79B,20.75,6.28,-1.78%,192.49M,3.37%,790.00M,9.20,1.04,74.50%,1.22%,-3.85%,15.76B,1.57,-24.90%,-0.21%,2.31,8.76%,45.92,2.84,-,137.97,10.30%,0.79,165.26,3.48%,-,108.22 - 140.23,9.00%,3.54,-,-3.30%,4.60%,-7.08%,0.61,2.72%,0.50,7.10%,-,20.40%,2.32,10300,0.60,21.10%,-,63.60,1.86% 1.89%,Yes,2.09,-1.00%,-,0.74,129.21,Yes,1.76,Jul 28 BMO,-,1.02M,130.30,2.30,4.10%,3.17%,6.16%,"753,549",0.84%
CBRE,Real Estate,CBRE Group Inc. Class A,0.080666,85.62,S&P500,14.80,5.79,0.70%,337.14M,4.08%,27.65B,13.36,6.41,-2.82%,325.45M,16.21%,1.96B,1.35,1.40,99.70%,1.68%,0.01%,29.14B,0.95,143.30%,0.30%,2.56,-10.22%,25.12,3.41,9.60%,101.83,-10.40%,5.13,16.68,11.00%,24.10%,67.68 - 111.00,-21.09%,-,14.24,26.10%,9.30%,-22.86%,1.37,-,1.20,9.80%,22.40%,26.51%,1.78,105000,1.20,23.50%,6.00%,72.48,1.94% 2.23%,Yes,0.36,48.40%,6.70%,0.70,84.71,Yes,0.19,Aug 04 BMO,0.00%,2.14M,85.62,2.00,9.31%,10.82%,-6.90%,"1,500,171",1.07%
EQR,Real Estate,Equity Residential,0.076682,78.39,S&P500,21.94,3.57,0.20%,375.51M,6.93%,29.22B,54.21,1.45,-13.54%,369.42M,8.27%,1.34B,-,0.29,94.60%,1.22%,-8.90%,2.52B,11.60,44.80%,0.12%,2.49,-9.55%,28.70,2.73,6.50%,82.90,-7.20%,0.11,711.06,-,12.60%,67.48 - 94.32,-13.38%,2.50,77.46,-21.20%,8.60%,-16.89%,0.81,3.19%,-,0.30%,62.00%,16.17%,1.53,2400,-,9.30%,67.10%,72.57,1.78% 1.90%,Yes,0.76,22.40%,53.30%,1.00,77.75,Yes,0.75,Jul 26 AMC,67.20%,1.81M,78.39,2.70,8.14%,7.17%,-6.09%,"1,816,822",0.82%
APTV,Consumer Discretionary,Aptiv PLC,0.081093,104.89,S&P500,88.59,1.18,0.30%,270.79M,7.44%,29.23B,18.31,5.73,-7.09%,269.75M,13.06%,321.00M,1.80,0.58,98.30%,1.59%,-2.74%,15.77B,1.85,-70.30%,-0.06%,2.12,-20.54%,31.01,3.38,1.70%,138.41,-37.44%,17.50,5.99,49.34%,3.80%,84.14 - 180.81,-36.41%,-,664.26,-8.60%,7.60%,-41.99%,2.01,-,2.00,4.90%,14.60%,24.66%,3.90,155000,2.60,3.90%,5.50%,63.00,2.97% 4.05%,Yes,0.78,-73.80%,2.00%,0.77,103.56,Yes,0.77,Aug 04 BMO,115.90%,2.03M,104.89,2.10,12.04%,8.74%,-19.08%,"1,550,878",1.28%
ODFL,Industrials,Old Dominion Freight Line Inc.,0.07961,303.4,S&P500 NDQ100,30.99,9.79,0.20%,114.42M,8.80%,34.80B,25.00,12.14,0.00%,99.21M,18.89%,1.13B,1.38,3.14,74.50%,3.99%,3.85%,5.63B,6.18,56.50%,0.13%,4.31,6.13%,30.62,9.91,24.30%,291.89,13.25%,4.72,64.29,22.50%,32.40%,231.31 - 373.58,-15.31%,1.20,58.50,30.20%,27.50%,-18.76%,1.01,0.40%,2.20,11.90%,88.70%,31.21%,10.34,23663,2.20,32.90%,27.10%,71.06,4.33% 3.48%,Yes,0.00,53.10%,20.20%,1.43,293.16,Yes,0.03,Jul 27 BMO,9.10%,918.92K,303.51,2.70,13.24%,17.66%,0.79%,"1,315,918",3.53%
GLW,Information Technology,Corning Inc,0.080367,36.76,S&P500,29.46,1.25,0.10%,843.00M,6.95%,31.48B,14.21,2.59,-20.69%,761.66M,13.53%,1.08B,1.37,0.56,70.50%,2.68%,0.99%,14.47B,2.18,138.40%,-0.30%,4.08,-9.37%,14.70,2.50,3.60%,41.66,-12.10%,2.35,15.62,21.48%,8.90%,30.63 - 43.47,-1.26%,1.08,52.38,-16.90%,8.40%,-15.44%,0.97,2.94%,1.00,8.40%,35.90%,20.01%,0.98,61200,1.60,11.90%,15.10%,70.59,3.36% 2.73%,Yes,0.56,5.60%,7.50%,1.11,36.29,Yes,0.55,Jul 26 BMO,77.40%,5.00M,36.76,2.00,10.26%,9.39%,0.30%,"5,548,076",1.30%
EIX,Utilities,Edison International,0.071978,67.77,S&P500,44.12,1.54,0.10%,381.00M,10.50%,25.59B,13.96,4.86,0.13%,380.86M,7.81%,584.00M,8.82,0.92,89.40%,1.30%,-4.28%,15.91B,1.61,1.10%,-0.07%,2.74,10.20%,36.10,1.88,0.80%,73.40,18.44%,0.61,110.80,5.00%,4.40%,54.14 - 73.32,-0.70%,2.80,-,-12.70%,3.90%,-7.57%,0.65,4.13%,0.60,4.70%,65.00%,25.18%,1.43,13003,0.60,34.10%,8.40%,70.29,2.22% 2.14%,Yes,2.05,-67.70%,3.80%,1.75,65.49,Yes,1.82,Jul 28 AMC,174.90%,1.80M,67.77,2.20,8.75%,5.53%,4.19%,"3,147,374",3.48%
EBAY,Consumer Discretionary,eBay Inc.,0.07863,48.4,S&P500 NDQ100,-,-2.89,0.20%,587.00M,4.18%,27.21B,11.11,4.38,-5.40%,554.97M,13.97%,-1655.00M,-,0.89,92.20%,3.74%,-9.56%,10.27B,2.65,-89.00%,-0.05%,2.88,-14.23%,12.02,4.05,42.10%,56.36,-33.76%,9.92,4.90,8.83%,114.20%,40.52 - 81.19,-26.87%,0.88,20.75,-43.10%,14.70%,-40.10%,1.20,1.81%,1.50,2.30%,73.40%,20.01%,1.41,10800,1.50,-5.90%,27.00%,65.83,2.68% 2.77%,Yes,1.18,-378.30%,-,1.00,48.21,Yes,0.93,Aug 03 AMC,4.40%,7.20M,48.63,2.50,9.35%,8.54%,-15.76%,"7,231,817",0.87%
ALB,Materials,Albemarle Corporation,0.080008,244.98,S&P500,102.74,2.38,0.20%,117.07M,10.32%,29.15B,15.60,15.66,2.71%,116.91M,15.30%,281.40M,1.47,3.25,84.90%,1.84%,25.12%,3.63B,8.04,-69.80%,0.63%,1.54,18.93%,49.77,4.91,2.60%,274.65,20.46%,3.88,62.91,69.82%,4.80%,169.93 - 291.48,4.51%,1.58,-,-22.90%,9.50%,-16.18%,1.57,0.65%,0.60,4.40%,32.60%,43.77%,8.58,6000,1.10,36.00%,26.50%,67.77,3.63% 3.52%,Yes,0.43,155.10%,7.80%,1.07,236.32,Yes,0.34,Aug 03 AMC,64.80%,1.40M,244.31,2.30,15.90%,8.35%,8.01%,"1,503,689",3.38%
AEE,Utilities,Ameren Corporation,0.06864,93.12,S&P500,23.85,3.90,0.50%,257.90M,6.51%,23.74B,21.32,4.37,-6.60%,257.12M,3.88%,1.01B,3.75,0.84,80.90%,1.19%,-2.44%,6.71B,3.54,9.70%,-0.31%,2.08,7.88%,38.02,2.45,2.90%,96.42,10.50%,0.03,3391.16,6.37%,10.50%,80.27 - 99.20,4.62%,2.36,16.39,7.50%,5.00%,-6.13%,0.34,2.53%,0.50,1.00%,82.70%,16.01%,1.67,9116,0.60,20.00%,20.10%,67.91,1.66% 1.87%,Yes,1.44,6.90%,15.00%,0.68,92.06,Yes,1.28,Aug 05 BMO,42.10%,1.47M,93.12,2.20,5.58%,4.16%,5.18%,"1,002,271",1.15%
ETR,Utilities,Entergy Corporation,0.067544,115.13,S&P500,22.01,5.23,0.40%,202.94M,5.27%,23.11B,17.05,6.75,-21.66%,202.62M,3.08%,1.06B,3.64,1.40,89.80%,1.91%,-5.88%,11.78B,1.96,-19.70%,-0.04%,3.49,5.06%,57.70,2.00,1.80%,124.12,10.30%,3.49,32.95,6.04%,9.30%,98.50 - 126.82,2.20%,4.04,12.19,29.90%,4.30%,-9.21%,0.57,3.51%,0.50,1.60%,88.70%,16.89%,2.20,12369,0.70,1.20%,16.20%,61.57,1.72% 2.05%,Yes,2.44,-18.50%,9.00%,1.24,114.00,Yes,2.24,Aug 03 BMO,74.50%,1.11M,115.13,2.20,4.04%,1.98%,3.77%,"1,376,892",0.99%
CPRT,Industrials,Copart Inc.,0.077815,127.53,S&P500 NDQ100,28.52,4.49,10.04%,237.50M,5.03%,30.88B,26.63,4.81,-0.42%,213.83M,17.44%,1.08B,1.28,1.10,82.90%,1.18%,9.74%,3.37B,9.17,32.90%,0.12%,2.15,5.42%,18.33,6.99,21.60%,156.43,-12.68%,6.97,18.39,22.30%,27.50%,102.21 - 161.12,-15.51%,-,40.68,28.60%,24.20%,-20.49%,1.13,-,5.30,16.20%,47.00%,25.33%,3.02,8600,5.50,28.10%,40.20%,71.00,2.22% 2.45%,Yes,0.00,-3.10%,32.20%,0.88,125.77,Yes,0.09,May 18 AMC,0.00%,1.17M,128.10,1.80,9.81%,13.33%,-0.26%,"1,031,982",1.85%
SIVB,Financials,SVB Financial Group,0.066293,402.75,S&P500,15.54,25.97,0.20%,58.80M,11.68%,28.66B,9.96,40.53,-11.49%,58.35M,0.25%,1.54B,1.94,8.52,94.20%,3.12%,-21.69%,4.25B,6.74,36.60%,0.05%,2.97,-25.65%,209.76,1.92,0.90%,542.32,-28.79%,324.61,1.24,8.00%,15.10%,355.37 - 763.22,-40.50%,-,16.87,33.70%,15.90%,-47.13%,1.84,-,-,22.50%,-,13.56%,22.18,7149,-,65.30%,71.80%,48.90,6.03% 4.84%,Yes,0.21,-21.00%,41.60%,1.07,390.78,Yes,0.21,Jul 21 AMC,0.00%,613.83K,403.55,2.00,-0.16%,-5.24%,-29.80%,"654,114",3.27%
EXR,Real Estate,Extra Space Storage Inc.,0.072886,189.52,S&P500,30.70,6.17,0.80%,134.18M,6.53%,25.09B,29.69,6.38,-0.12%,132.24M,10.86%,827.10M,5.12,1.47,97.00%,1.96%,-8.90%,1.66B,15.10,66.80%,-0.01%,3.72,-0.43%,23.92,7.92,8.20%,201.08,9.08%,0.50,380.22,6.00%,26.90%,156.70 - 228.84,-16.41%,6.00,70.87,16.30%,10.50%,-17.18%,0.48,3.17%,-,9.70%,75.40%,20.94%,4.16,4309,-,23.60%,58.40%,74.35,1.97% 2.34%,Yes,1.87,-1.20%,49.80%,1.02,188.14,Yes,1.87,Aug 02 AMC,81.00%,696.49K,189.52,2.30,9.12%,10.19%,-1.82%,"710,768",0.73%
STT,Financials,State Street Corporation,0.074059,71.04,S&P500,9.84,7.22,0.40%,366.54M,4.23%,25.99B,8.18,8.68,0.00%,347.07M,10.86%,2.65B,1.54,1.77,94.50%,1.13%,3.20%,2.25B,11.55,13.70%,0.54%,1.40,-23.71%,66.15,1.07,0.80%,80.21,-19.24%,381.19,0.19,6.39%,10.50%,58.79 - 104.87,-23.61%,2.28,-,7.70%,3.70%,-32.26%,1.62,3.21%,-,-4.90%,-,20.83%,2.09,39335,-,10.40%,88.70%,63.70,2.50% 2.94%,Yes,0.57,14.00%,-,1.42,69.97,Yes,0.57,Jul 15 BMO,29.20%,2.81M,71.04,2.30,9.45%,7.09%,-15.30%,"3,990,539",1.53%
BALL,Materials,Ball Corporation,0.069574,73.42,S&P500,21.70,3.38,0.50%,320.90M,3.83%,23.85B,16.61,4.42,0.00%,316.57M,7.42%,1.11B,1.80,0.90,90.70%,2.76%,-11.47%,14.40B,1.66,55.20%,-0.78%,3.95,-21.89%,12.15,6.04,5.60%,83.94,-9.37%,1.35,54.57,12.08%,30.20%,62.90 - 98.09,-23.74%,0.80,-,26.20%,9.80%,-25.15%,0.56,1.09%,0.60,8.80%,19.40%,16.72%,2.05,24300,1.00,18.90%,11.00%,61.15,2.55% 2.78%,Yes,2.20,128.30%,7.80%,0.80,73.56,Yes,2.12,Aug 04 BMO,21.60%,2.21M,73.42,-,5.39%,5.28%,-13.36%,"1,773,270",-0.19%
