,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
AME,Industrials,AMETEK Inc.,0.079348,115.5,S&P 500,25.80,4.48,0.40%,231.48M,5.87%,26.74B,19.88,5.81,-0.62%,229.82M,6.00%,1.04B,-,1.29,89.50%,0.78%,-9.18%,5.79B,4.62,12.70%,0.84%,1.57,-15.33%,29.94,3.86,8.80%,145.44,-16.20%,1.47,78.58,-1.20%,15.60%,106.17 - 148.07,-21.45%,0.88,34.79,14.20%,11.40%,-22.00%,1.25,0.76%,0.90,7.60%,34.50%,8.79%,2.53,18500,1.40,20.00%,23.60%,56.46,1.88% 2.23%,Yes,0.37,23.90%,18.00%,0.62,115.33,Yes,0.32,Aug 02 BMO,18.20%,1.13M,115.50,2.00,3.23%,0.32%,-10.91%,"707,866",0.15%
WY,Real Estate,Weyerhaeuser Company,0.079218,35.46,S&P 500,9.87,3.59,0.30%,747.51M,3.32%,26.39B,22.75,1.56,0.29%,742.92M,6.52%,2.70B,1.97,0.98,84.30%,1.61%,-14.60%,10.81B,2.44,225.80%,0.04%,2.51,-3.36%,13.69,2.59,15.30%,41.30,7.73%,1.62,21.90,5.00%,25.80%,31.68 - 42.86,-10.80%,0.72,18.99,44.90%,18.50%,-17.27%,1.51,2.03%,2.20,9.90%,41.50%,11.93%,0.93,9214,2.80,24.20%,34.70%,53.74,2.60% 2.67%,Yes,0.00,13.40%,25.00%,0.94,35.51,Yes,0.49,Jul 29 BMO,19.20%,4.77M,35.46,2.20,3.04%,-1.60%,-5.95%,"4,503,754",-0.14%
ROST,Consumer Discretionary,Ross Stores Inc.,0.08823,79.75,S&P 500,18.37,4.50,0.40%,347.05M,4.44%,29.04B,16.01,5.16,-0.07%,346.95M,11.69%,1.58B,0.53,1.03,90.70%,2.54%,-20.13%,18.73B,1.55,3.50%,0.40%,2.13,-13.41%,11.68,7.07,11.60%,96.55,-32.09%,11.42,7.23,34.73%,39.60%,69.24 - 127.34,-27.70%,1.24,-,11.50%,27.60%,-35.11%,1.04,1.50%,1.20,8.00%,26.80%,19.34%,2.39,100000,1.90,-4.10%,11.50%,60.68,2.54% 3.12%,Yes,0.61,-27.60%,8.50%,0.36,83.24,Yes,0.61,May 19 AMC,25.80%,4.14M,82.63,2.20,7.98%,3.75%,-14.89%,"1,478,976",-0.73%
OKE,Energy,ONEOK Inc.,0.076912,59.14,S&P 500,17.61,3.36,0.50%,447.12M,3.83%,26.60B,13.75,4.30,-0.93%,443.90M,10.94%,1.50B,1.66,0.88,67.40%,1.61%,-14.64%,18.79B,1.42,136.40%,-0.03%,2.48,1.04%,13.40,4.41,6.30%,69.53,11.69%,0.03,1821.88,10.64%,25.30%,48.51 - 75.07,0.65%,3.74,901.67,15.00%,10.70%,-21.22%,1.69,6.32%,0.50,13.10%,22.80%,21.91%,2.09,2847,0.80,70.40%,13.80%,55.22,2.93% 3.18%,Yes,2.29,1.00%,8.00%,0.89,57.99,Yes,2.13,Aug 08 AMC,111.10%,2.89M,59.14,2.70,5.07%,-2.08%,-6.30%,"2,573,997",1.98%
TSN,Consumer Staples,Tyson Foods Inc. Class A,0.072015,83.69,S&P 500,7.19,11.64,0.30%,361.00M,2.21%,30.31B,10.58,7.91,-8.39%,284.80M,-0.32%,4.05B,0.96,1.97,87.20%,2.14%,-11.83%,51.34B,0.59,48.00%,0.13%,3.07,-6.94%,52.67,1.59,11.20%,97.82,17.34%,3.18,26.33,7.50%,22.60%,70.04 - 100.72,-3.98%,1.84,19.31,13.00%,12.60%,-16.91%,0.65,2.20%,0.90,5.00%,15.50%,19.50%,1.77,137000,1.90,16.10%,10.90%,48.47,1.52% 2.05%,Yes,0.44,73.70%,7.90%,0.84,82.08,Yes,0.43,Aug 08 BMO,15.50%,1.98M,83.69,2.40,-0.34%,-2.38%,-4.28%,"1,674,027",1.96%
KEYS,Information Technology,Keysight Technologies Inc,0.082556,152.06,S&P 500,27.51,5.53,0.20%,181.00M,7.67%,27.88B,19.55,7.78,-1.25%,179.00M,11.06%,1.02B,2.13,1.79,90.50%,1.73%,4.67%,5.14B,5.42,44.10%,0.14%,3.16,-12.32%,20.88,7.28,13.20%,179.00,-4.78%,10.29,14.78,12.91%,27.10%,127.93 - 209.08,-26.37%,-,29.69,19.70%,17.30%,-27.27%,1.07,-,2.30,11.10%,64.00%,18.86%,4.06,14500,2.90,10.60%,23.90%,62.96,2.63% 2.54%,Yes,0.47,41.70%,19.90%,0.97,150.58,Yes,0.47,May 17 AMC,0.00%,982.51K,152.06,2.00,6.87%,8.25%,-7.22%,"954,396",0.98%
DTE,Utilities,DTE Energy Company,0.071357,124.91,S&P 500,30.68,4.07,0.20%,193.00M,1.00%,23.76B,19.89,6.28,-1.78%,192.49M,3.77%,790.00M,8.81,1.04,74.50%,1.13%,-8.70%,15.76B,1.51,-24.90%,-0.21%,2.13,5.44%,45.92,2.72,-,137.97,7.35%,0.79,158.43,3.48%,-,108.22 - 140.23,4.49%,3.54,-,-3.30%,4.60%,-10.92%,0.61,2.83%,0.50,7.10%,-,15.42%,2.38,10300,0.60,21.10%,-,50.76,1.49% 1.83%,Yes,2.09,-1.00%,-,0.59,123.75,Yes,1.76,Jul 28 BMO,-,1.02M,124.91,2.30,0.13%,-1.29%,1.98%,"597,400",0.94%
CBRE,Real Estate,CBRE Group Inc. Class A,0.080521,82.83,S&P 500,14.32,5.79,0.70%,337.14M,6.37%,26.74B,12.92,6.41,-2.82%,325.45M,15.41%,1.96B,1.30,1.40,99.70%,1.67%,-2.06%,29.14B,0.92,143.30%,0.30%,2.52,-18.40%,25.12,3.30,9.60%,101.83,-5.59%,5.13,16.14,11.00%,24.10%,67.68 - 111.00,-23.67%,-,13.77,26.10%,9.30%,-25.38%,1.37,-,1.20,9.80%,22.40%,22.38%,1.83,105000,1.20,23.50%,6.00%,69.40,1.57% 2.31%,Yes,0.36,48.40%,6.70%,0.68,82.26,Yes,0.19,Aug 04 BMO,0.00%,2.16M,82.83,2.00,8.37%,7.63%,-10.22%,"1,468,456",0.69%
EQR,Real Estate,Equity Residential,0.074328,73.5,S&P 500,20.57,3.57,0.20%,375.51M,3.71%,27.40B,50.83,1.45,-13.54%,369.42M,1.16%,1.34B,-,0.29,94.60%,1.14%,-19.36%,2.52B,10.87,44.80%,0.12%,2.30,-16.53%,28.70,2.56,6.50%,82.90,-13.35%,0.11,666.70,-,12.60%,67.48 - 94.32,-18.78%,2.50,72.63,-21.20%,8.60%,-22.07%,0.81,3.40%,-,0.30%,62.00%,8.92%,1.48,2400,-,9.30%,67.10%,55.69,1.70% 2.00%,Yes,0.76,22.40%,53.30%,0.76,73.31,Yes,0.75,Jul 26 AMC,67.20%,1.83M,73.50,2.70,2.14%,0.58%,-12.12%,"1,390,867",0.26%
APTV,Consumer Discretionary,Aptiv PLC,0.078589,97.87,S&P 500,82.66,1.18,0.30%,270.79M,7.76%,27.27B,17.09,5.73,-7.09%,269.75M,6.22%,321.00M,1.68,0.58,98.30%,1.79%,-8.09%,15.77B,1.73,-70.30%,-0.06%,2.40,-30.19%,31.01,3.16,1.70%,138.41,-37.82%,17.50,5.59,49.34%,3.80%,84.14 - 180.81,-40.67%,-,619.81,-8.60%,7.60%,-45.87%,2.01,-,2.00,4.90%,14.60%,16.32%,4.37,155000,2.60,3.90%,5.50%,54.88,3.67% 4.28%,Yes,0.78,-73.80%,2.00%,0.60,97.63,Yes,0.77,Aug 04 BMO,115.90%,2.01M,97.87,2.10,5.39%,1.94%,-25.21%,"1,199,600",0.25%
ODFL,Industrials,Old Dominion Freight Line Inc.,0.077862,274.5,S&P 500,28.14,9.79,0.20%,114.42M,5.37%,31.59B,22.70,12.14,0.00%,99.21M,11.28%,1.13B,1.25,3.14,74.50%,3.77%,2.42%,5.63B,5.61,56.50%,0.13%,3.96,-7.16%,30.62,9.00,24.30%,291.89,5.54%,4.72,58.37,22.50%,32.40%,231.31 - 373.58,-23.11%,1.20,53.11,30.20%,27.50%,-26.24%,1.01,0.44%,2.20,11.90%,88.70%,19.13%,9.07,23663,2.20,32.90%,27.10%,58.58,3.06% 3.44%,Yes,0.00,53.10%,20.20%,0.85,278.96,Yes,0.03,Jul 27 BMO,9.10%,944.59K,275.55,2.70,4.60%,7.15%,-8.57%,"805,324",-1.22%
GLW,Information Technology,Corning Inc,0.078242,34.49,S&P 500,27.64,1.25,0.10%,843.00M,5.25%,29.54B,13.33,2.59,-20.69%,761.66M,9.11%,1.08B,1.29,0.56,70.50%,2.38%,2.04%,14.47B,2.04,138.40%,-0.30%,3.54,-1.63%,14.70,2.35,3.60%,41.66,-16.33%,2.35,14.65,21.48%,8.90%,30.63 - 43.47,-7.36%,1.08,49.15,-16.90%,8.40%,-20.66%,0.97,3.13%,1.00,8.40%,35.90%,12.60%,0.94,61200,1.60,11.90%,15.10%,59.09,2.29% 2.67%,Yes,0.56,5.60%,7.50%,1.78,34.37,Yes,0.55,Jul 26 BMO,77.40%,5.13M,34.49,2.00,5.15%,2.68%,-5.97%,"9,153,312",0.35%
EIX,Utilities,Edison International,0.069294,62.75,S&P 500,40.85,1.54,0.10%,381.00M,2.90%,23.70B,12.92,4.86,0.13%,380.86M,3.34%,584.00M,8.17,0.92,89.40%,1.22%,-12.38%,15.91B,1.49,1.10%,-0.07%,2.59,-0.37%,36.10,1.74,0.80%,73.40,11.60%,0.61,102.59,5.00%,4.40%,54.14 - 73.32,-8.06%,2.80,-,-12.70%,3.90%,-14.42%,0.65,4.46%,0.60,4.70%,65.00%,15.90%,1.42,13003,0.60,34.10%,8.40%,50.97,1.80% 2.18%,Yes,2.05,-67.70%,3.80%,0.60,61.33,Yes,1.82,Jul 28 AMC,174.90%,1.79M,62.75,2.20,0.98%,-2.61%,-3.32%,"1,069,741",2.32%
EBAY,Consumer Discretionary,eBay Inc.,0.078262,46.53,S&P 500,-,-2.89,0.20%,587.00M,6.81%,26.05B,10.63,4.38,-5.40%,554.97M,8.35%,-1655.00M,-,0.89,92.20%,3.73%,-12.43%,10.27B,2.54,-89.00%,-0.05%,2.85,-21.80%,12.02,3.87,42.10%,56.36,-36.69%,9.92,4.69,8.83%,114.20%,40.52 - 81.19,-29.98%,0.88,19.87,-43.10%,14.70%,-42.65%,1.20,1.89%,1.50,2.30%,73.40%,14.91%,1.37,10800,1.50,-5.90%,27.00%,60.03,2.37% 2.99%,Yes,1.18,-378.30%,-,0.55,46.68,Yes,0.93,Aug 03 AMC,4.40%,7.27M,46.56,2.50,6.16%,4.07%,-20.09%,"4,025,678",-0.26%
ALB,Materials,Albemarle Corporation,0.077074,227.57,S&P 500,95.70,2.38,0.20%,117.07M,11.62%,27.15B,14.53,15.66,2.71%,116.91M,6.53%,281.40M,1.37,3.25,84.90%,1.73%,13.42%,3.63B,7.49,-69.80%,0.63%,1.43,6.97%,49.77,4.57,2.60%,274.65,19.55%,3.88,58.60,69.82%,4.80%,169.93 - 291.48,-2.65%,1.58,-,-22.90%,9.50%,-21.93%,1.57,0.69%,0.60,4.40%,32.60%,33.92%,9.17,6000,1.10,36.00%,26.50%,59.65,3.78% 3.88%,Yes,0.43,155.10%,7.80%,0.51,221.46,Yes,0.34,Aug 03 AMC,64.80%,1.42M,227.57,2.30,8.90%,1.30%,0.72%,"716,892",2.76%
AEE,Utilities,Ameren Corporation,0.067014,88.28,S&P 500,22.61,3.90,0.50%,257.90M,2.15%,22.50B,20.21,4.37,-6.60%,257.12M,3.48%,1.01B,3.55,0.84,80.90%,1.04%,-8.88%,6.71B,3.36,9.70%,-0.31%,1.79,0.64%,38.02,2.32,2.90%,96.42,5.86%,0.03,3214.91,6.37%,10.50%,80.27 - 99.20,-0.82%,2.36,15.54,7.50%,5.00%,-11.01%,0.34,2.67%,0.50,1.00%,82.70%,9.98%,1.69,9116,0.60,20.00%,20.10%,51.73,1.29% 1.97%,Yes,1.44,6.90%,15.00%,0.44,87.43,Yes,1.28,Aug 05 BMO,42.10%,1.49M,88.28,2.20,0.26%,-1.54%,-0.12%,"657,597",0.97%
ETR,Utilities,Entergy Corporation,0.066611,110.79,S&P 500,21.18,5.23,0.40%,202.94M,1.39%,22.24B,16.41,6.75,-22.42%,202.62M,4.61%,1.06B,3.50,1.40,89.80%,2.12%,-10.18%,11.78B,1.89,-19.70%,-0.04%,3.83,1.25%,57.70,1.92,1.80%,124.12,7.84%,3.49,31.71,6.04%,9.30%,98.50 - 126.82,-1.65%,4.04,11.73,29.90%,4.30%,-12.64%,0.57,3.65%,0.50,1.60%,88.70%,12.48%,2.37,12369,0.70,1.20%,16.20%,50.03,1.57% 2.18%,Yes,2.44,-18.50%,9.00%,0.61,109.37,Yes,2.24,Aug 03 BMO,74.50%,1.12M,110.79,2.20,0.17%,-2.24%,0.01%,"689,654",1.30%
CPRT,Industrials,Copart Inc.,0.077575,120.47,S&P 500,26.90,4.49,10.04%,237.50M,3.91%,29.13B,25.12,4.81,-0.42%,213.83M,9.70%,1.08B,1.21,1.10,82.90%,0.97%,4.05%,3.37B,8.66,32.90%,0.12%,1.75,-4.61%,18.33,6.59,21.60%,156.43,-17.59%,6.97,17.35,22.30%,27.50%,102.21 - 161.12,-20.29%,-,38.38,28.60%,24.20%,-24.99%,1.13,-,5.30,16.20%,47.00%,18.24%,3.08,8600,5.50,28.10%,40.20%,62.43,2.41% 2.48%,Yes,0.00,-3.10%,32.20%,0.49,121.97,Yes,0.09,May 18 AMC,0.00%,1.19M,120.85,1.80,5.68%,7.91%,-6.16%,"580,317",-0.92%
SIVB,Financials,SVB Financial Group,0.063021,390.99,S&P 500,15.06,25.97,0.20%,58.80M,-5.47%,27.78B,9.65,40.53,-11.49%,58.35M,-2.47%,1.54B,1.88,8.52,94.20%,3.20%,-27.70%,4.25B,6.53,36.60%,0.05%,3.10,-32.76%,209.76,1.86,0.90%,542.32,-31.48%,324.61,1.21,8.00%,15.10%,355.37 - 763.22,-42.33%,-,16.35,33.70%,15.90%,-48.75%,1.84,-,-,22.50%,-,10.07%,22.68,7149,-,65.30%,71.80%,43.79,5.80% 4.49%,Yes,0.21,-21.00%,41.60%,1.78,361.36,Yes,0.21,Jul 21 AMC,0.00%,601.26K,391.16,2.00,-4.51%,-9.14%,-32.62%,"1,072,112",8.25%
EXR,Real Estate,Extra Space Storage Inc.,0.070851,178.04,S&P 500,28.84,6.17,0.80%,134.18M,5.60%,23.57B,27.89,6.38,-0.12%,132.24M,6.05%,827.10M,4.81,1.47,97.00%,2.17%,-16.24%,1.66B,14.18,66.80%,-0.01%,4.08,-8.92%,23.92,7.44,8.20%,201.08,3.87%,0.50,357.19,6.00%,26.90%,156.70 - 228.84,-21.47%,6.00,66.58,16.30%,10.50%,-22.20%,0.48,3.37%,-,9.70%,75.40%,13.62%,4.12,4309,-,23.60%,58.40%,61.26,1.85% 2.36%,Yes,1.87,-1.20%,49.80%,0.71,177.91,Yes,1.87,Aug 02 AMC,81.00%,703.81K,178.04,2.30,3.70%,3.75%,-7.67%,"496,836",0.07%
STT,Financials,State Street Corporation,0.074163,68.4,S&P 500,9.47,7.22,0.40%,366.54M,5.30%,25.02B,7.88,8.68,-1.08%,347.07M,8.76%,2.65B,1.48,1.77,94.50%,1.07%,-3.49%,2.25B,11.12,13.70%,0.54%,1.27,-24.83%,66.15,1.03,0.80%,80.21,-19.86%,381.19,0.18,6.39%,10.50%,58.79 - 104.87,-26.45%,2.28,-,7.70%,3.70%,-34.78%,1.62,3.33%,-,-4.90%,-,16.34%,2.20,39335,-,10.40%,88.70%,58.94,2.11% 3.14%,Yes,0.57,14.00%,-,0.51,68.16,Yes,0.57,Jul 15 BMO,29.20%,2.92M,68.40,2.30,6.55%,3.19%,-18.86%,"1,482,034",0.35%
BALL,Materials,Ball Corporation,0.068741,69.86,S&P 500,20.64,3.38,0.50%,320.90M,4.21%,22.69B,15.80,4.42,0.00%,316.57M,6.30%,1.11B,1.71,0.90,90.70%,3.34%,-19.19%,14.40B,1.58,55.20%,-0.78%,4.74,-20.91%,12.15,5.75,5.60%,83.94,-12.67%,1.35,51.93,12.08%,30.20%,62.90 - 98.09,-27.43%,0.80,-,26.20%,9.80%,-28.78%,0.56,1.15%,0.60,8.80%,19.40%,11.07%,2.17,24300,1.00,18.90%,11.00%,51.16,2.99% 3.10%,Yes,2.20,128.30%,7.80%,1.04,70.71,Yes,2.12,Aug 04 BMO,21.60%,2.23M,69.86,-,0.65%,0.40%,-17.95%,"2,326,896",-1.20%
FITB,Financials,Fifth Third Bancorp,0.068515,33.22,S&P 500,10.34,3.31,0.40%,687.54M,1.30%,23.90B,8.15,4.20,-4.57%,682.67M,2.09%,2.31B,1.84,1.01,81.70%,2.03%,-10.98%,5.34B,4.48,104.30%,-0.06%,2.60,-24.05%,26.27,1.30,1.30%,43.04,-4.39%,34.21,1.00,5.62%,13.40%,31.80 - 50.64,-21.45%,1.20,15.96,14.40%,15.00%,-32.44%,1.33,3.51%,-,4.40%,-,7.60%,1.13,19247,-,-1.00%,96.40%,48.53,2.66% 2.97%,Yes,0.60,-26.90%,49.80%,0.97,33.63,Yes,0.60,Jul 21 BMO,30.10%,5.33M,34.21,2.10,0.85%,-3.67%,-18.52%,"5,143,027",1.72%
LYB,Materials,LyondellBasell Industries NV,0.068166,87.53,S&P 500,4.97,17.60,0.20%,328.00M,1.28%,28.75B,5.55,15.78,-8.52%,256.40M,3.59%,5.87B,1.49,4.63,72.20%,2.36%,-14.07%,50.25B,0.57,294.90%,0.09%,2.45,-2.64%,38.71,2.26,15.60%,107.14,-5.10%,5.43,16.11,3.33%,50.00%,80.37 - 112.53,-0.61%,4.76,5.69,12.90%,23.90%,-22.22%,1.29,5.44%,1.10,9.60%,18.70%,8.91%,2.98,19100,1.80,44.90%,14.60%,44.74,2.46% 2.88%,Yes,0.89,25.10%,11.70%,0.90,86.80,Yes,0.88,Jul 29 BMO,25.70%,2.48M,87.53,2.50,0.60%,-8.95%,-7.12%,"2,236,895",0.84%
ROK,Industrials,Rockwell Automation Inc.,0.076501,219.96,S&P 500,40.01,5.50,0.16%,116.20M,7.45%,25.44B,20.25,10.86,-1.61%,116.04M,11.55%,644.00M,4.27,2.38,83.60%,2.68%,-15.57%,7.32B,3.48,32.10%,2.23%,2.77,-30.00%,22.65,9.71,6.30%,229.10,-26.50%,3.88,56.62,9.38%,26.30%,190.08 - 354.99,-36.95%,4.48,297.25,15.80%,21.10%,-38.04%,1.40,2.04%,0.80,3.50%,39.60%,15.72%,6.06,24500,1.10,1.80%,8.80%,65.47,3.10% 2.77%,Yes,1.56,-87.00%,8.80%,0.62,221.60,Yes,1.32,Jul 27 BMO,78.90%,1.13M,219.96,2.60,7.80%,7.57%,-20.31%,"695,243",-0.74%
CHD,Consumer Staples,Church & Dwight Co. Inc.,0.068427,94.14,S&P 500,28.88,3.26,0.10%,242.60M,0.17%,22.64B,27.66,3.40,-8.98%,242.35M,3.83%,811.20M,4.03,0.72,86.00%,1.68%,-8.42%,5.25B,4.31,6.40%,0.17%,2.76,-8.96%,14.03,6.71,10.60%,98.88,8.86%,0.73,129.84,7.16%,24.00%,80.34 - 105.28,-8.16%,1.05,32.86,13.60%,15.10%,-10.58%,0.38,1.12%,0.30,8.20%,43.20%,17.18%,1.79,5100,0.70,4.70%,20.10%,56.10,1.38% 1.66%,Yes,0.71,-6.20%,15.50%,0.69,94.06,Yes,0.47,Jul 29 BMO,30.70%,1.47M,94.14,2.90,0.17%,3.35%,-0.96%,"1,020,416",0.09%
DHI,Consumer Discretionary,D.R. Horton Inc.,0.075061,75.36,S&P 500,4.84,15.57,0.40%,353.10M,3.84%,25.99B,5.16,14.60,-0.90%,315.07M,11.81%,5.56B,0.40,5.33,82.90%,3.99%,5.62%,31.95B,0.81,78.00%,0.07%,3.14,-14.24%,47.51,1.59,18.60%,95.26,-19.44%,4.82,15.62,11.98%,29.60%,59.25 - 110.45,-30.51%,0.90,125.09,37.00%,20.60%,-31.77%,1.60,1.19%,-,18.00%,31.50%,27.19%,2.88,11788,-,24.10%,18.20%,58.65,4.17% 3.73%,Yes,0.33,59.30%,14.20%,0.70,77.39,Yes,0.24,Jul 21 BMO,6.50%,4.00M,75.36,2.00,5.02%,7.40%,-10.01%,"2,803,995",-2.62%
WST,Health Care,West Pharmaceutical Services Inc.,0.069007,313.51,S&P 500,35.02,8.95,0.60%,74.40M,7.37%,23.44B,30.68,10.22,-1.76%,73.61M,4.89%,683.00M,3.77,2.21,98.00%,1.23%,-10.37%,2.88B,8.14,89.50%,0.00%,1.98,-14.76%,31.27,10.03,21.60%,384.60,-17.73%,8.93,35.11,9.30%,30.80%,275.89 - 475.35,-33.15%,0.72,71.01,35.20%,24.80%,-34.05%,1.13,0.23%,2.20,13.40%,41.30%,13.64%,9.31,10065,2.90,7.40%,26.50%,55.41,2.37% 2.97%,Yes,0.11,14.60%,23.80%,0.74,313.64,Yes,0.09,Jul 28 BMO,7.60%,458.90K,313.51,2.10,2.69%,3.74%,-16.79%,"339,415",-0.04%
EFX,Industrials,Equifax Inc.,0.072794,198.16,S&P 500,32.65,6.07,0.40%,122.40M,3.39%,24.22B,22.49,8.81,-6.54%,121.82M,8.68%,749.90M,3.05,1.69,96.60%,1.98%,-2.67%,5.16B,4.70,42.20%,1.81%,2.57,-12.19%,31.09,6.37,6.70%,225.05,-21.70%,1.83,108.31,10.70%,20.30%,169.25 - 300.11,-32.32%,1.56,200.32,8.30%,10.60%,-33.97%,1.49,0.79%,0.50,9.40%,59.10%,17.08%,5.78,12700,0.50,6.60%,22.50%,57.11,3.27% 2.74%,Yes,1.49,-6.60%,14.50%,0.80,200.85,Yes,1.07,Jul 20 AMC,25.40%,935.46K,198.16,2.00,4.36%,3.98%,-15.59%,"751,937",-1.34%
LH,Health Care,Laboratory Corporation of America Holdings,0.068505,246.89,S&P 500,11.34,21.78,0.20%,93.20M,2.50%,23.14B,13.58,18.18,-1.71%,92.46M,3.03%,2.10B,-,4.70,92.30%,2.09%,-8.06%,15.86B,1.46,53.60%,0.23%,2.27,-9.09%,115.03,2.15,10.20%,299.38,-13.00%,13.16,18.76,-12.81%,20.10%,212.40 - 317.17,-21.43%,2.88,12.67,29.00%,15.90%,-22.16%,1.02,1.17%,1.80,11.00%,33.20%,16.24%,5.14,75500,2.00,-6.30%,18.20%,56.40,1.71% 2.00%,Yes,0.51,-33.10%,13.20%,0.48,246.34,Yes,0.51,Jul 28 BMO,0.00%,849.42K,246.89,1.80,1.97%,2.77%,-7.90%,"404,922",0.22%
FE,Utilities,FirstEnergy Corp.,0.065261,38.62,S&P 500,17.90,2.16,0.10%,570.00M,3.29%,21.76B,15.19,2.54,0.00%,540.80M,4.49%,1.19B,-,0.52,86.30%,1.02%,-16.06%,11.39B,1.91,22.90%,0.11%,1.48,-6.56%,15.36,2.51,2.80%,45.77,0.39%,0.50,76.90,-2.42%,15.30%,35.32 - 48.85,-7.14%,1.56,-,11.90%,5.50%,-20.94%,0.40,4.04%,0.50,0.80%,72.60%,9.34%,0.81,12395,0.50,9.60%,18.50%,53.87,1.52% 2.11%,Yes,2.65,-18.10%,10.80%,0.54,38.32,Yes,2.48,Jul 26 AMC,69.60%,3.72M,38.62,2.30,2.36%,-2.52%,-5.73%,"2,004,451",0.78%
TSCO,Consumer Discretionary,Tractor Supply Company,0.066322,189.59,S&P 500,22.25,8.71,0.20%,112.53M,-4.73%,22.08B,18.60,10.42,-15.75%,111.21M,-2.47%,1.00B,2.04,2.07,86.10%,2.23%,-6.18%,12.96B,1.70,35.00%,0.18%,2.00,-7.29%,15.91,12.19,12.90%,237.52,3.29%,3.56,54.47,10.90%,51.20%,166.49 - 241.54,-18.75%,3.68,81.40,21.40%,33.80%,-19.74%,0.95,1.90%,0.30,13.40%,35.10%,16.45%,6.03,22000,1.40,8.30%,10.10%,43.79,3.02% 2.68%,Yes,0.57,6.60%,7.70%,0.95,194.89,Yes,0.57,Jul 21 BMO,23.90%,1.24M,193.87,2.20,-3.10%,-0.70%,-9.25%,"1,178,447",-0.52%
ZBH,Health Care,Zimmer Biomet Holdings Inc.,0.066476,107.9,S&P 500,75.09,1.44,0.07%,209.58M,4.27%,22.92B,15.20,7.10,-19.13%,209.29M,1.41%,303.20M,10.73,1.65,92.90%,1.29%,-14.16%,7.65B,3.00,395.20%,-0.26%,2.15,-9.24%,57.44,1.88,0.90%,125.89,-30.47%,2.05,52.59,7.00%,1.70%,100.39 - 160.45,-12.45%,0.96,20.71,6.30%,3.20%,-32.75%,1.17,0.89%,0.90,0.40%,69.60%,7.48%,2.65,19500,1.70,3.90%,7.20%,51.69,2.03% 2.18%,Yes,0.52,-62.20%,2.80%,1.00,107.00,Yes,0.44,Aug 02 BMO,92.00%,1.25M,107.90,2.70,2.04%,-2.80%,-11.36%,"1,252,314",0.84%
WTW,Financials,Willis Towers Watson Public Limited Company,0.067502,196.17,S&P 500,14.98,13.45,0.40%,118.00M,5.19%,22.44B,12.93,15.59,-3.59%,110.63M,1.87%,1.71B,2.36,2.30,97.80%,1.90%,-15.08%,8.93B,2.51,170.20%,-0.06%,2.70,-10.66%,93.25,2.16,-,240.50,-10.97%,19.74,10.21,6.36%,-,187.89 - 249.70,-15.12%,3.28,-,40.40%,11.40%,-19.27%,0.79,1.63%,1.10,2.70%,-,7.29%,4.75,44000,1.10,-3.10%,-,52.98,2.09% 2.25%,Yes,0.42,-77.50%,-,0.80,202.18,Yes,0.36,Jul 28 BMO,-,779.22K,201.58,-,1.22%,0.15%,-10.19%,"624,306",-0.30%
HIG,Financials,Hartford Financial Services Group Inc.,0.063801,64.79,S&P 500,8.91,7.27,0.20%,332.30M,4.65%,21.07B,7.98,8.12,-16.41%,327.68M,3.15%,2.54B,0.69,1.52,94.30%,0.65%,-9.40%,22.48B,0.94,39.60%,-0.04%,1.08,-6.53%,46.83,1.38,3.40%,83.47,5.52%,0.69,94.47,12.84%,14.80%,60.31 - 78.17,-6.16%,1.54,6.62,33.60%,11.60%,-17.12%,0.95,2.38%,-,6.50%,-,7.43%,1.66,18100,-,1.80%,15.00%,49.09,1.68% 2.24%,Yes,0.32,93.60%,11.30%,0.69,63.78,Yes,0.28,Jul 28 AMC,19.90%,1.97M,64.79,2.10,0.44%,-3.52%,-7.34%,"1,364,597",1.58%
ARE,Real Estate,Alexandria Real Estate Equities Inc.,0.066815,150.29,S&P 500,54.65,2.75,1.00%,158.20M,5.94%,24.20B,48.99,3.07,-3.02%,-,8.95%,403.80M,-,0.66,-,-,-23.24%,2.25B,10.76,-36.50%,0.27%,6.16,-23.55%,107.02,1.40,-,203.18,-23.69%,4.81,31.22,-8.40%,-,130.00 - 224.95,-32.59%,4.72,-,31.40%,1.60%,-33.19%,0.89,3.14%,-,18.10%,70.30%,15.61%,3.69,559,-,28.20%,-,55.64,2.04% 2.35%,Yes,0.61,-,-,0.69,150.22,Yes,0.61,Jul 25 AMC,-,1.17M,150.29,1.70,3.33%,-0.22%,-19.79%,"801,999",0.05%
